Time,	NewLatentTotal,	NewTotalInfectiousTotal,	NewRecoveredTotal,	NewRelapseTotal
121,	66.205002,	218.020004,	78.595001,	0.000000
122,	59.660004,	192.735001,	64.955002,	0.000000
123,	54.169998,	174.749992,	55.275002,	0.000000
124,	48.119999,	151.380005,	47.514999,	0.000000
125,	41.840000,	134.139992,	40.489998,	0.000000
126,	38.055000,	119.980000,	37.709999,	0.000000
127,	33.775002,	107.985004,	41.090000,	0.000000
128,	32.480000,	107.525002,	50.544998,	0.000000
129,	31.630001,	111.709999,	61.379997,	0.000000
130,	34.080002,	119.480000,	67.710007,	0.000000
131,	34.419998,	124.019997,	71.160004,	0.000000
132,	35.070000,	127.375004,	68.979996,	0.000000
133,	36.244999,	130.395000,	65.595001,	0.000000
134,	36.455002,	124.985004,	58.995003,	0.000000
135,	34.934998,	120.319996,	54.315002,	0.000000
136,	33.625000,	114.245003,	47.305000,	0.000000
137,	30.295000,	103.514999,	41.559998,	0.000000
138,	28.700001,	95.770004,	36.080002,	0.000000
139,	26.259998,	86.750000,	32.010002,	0.000000
140,	23.684999,	79.084999,	29.080000,	0.000000
141,	21.500000,	71.619999,	28.235001,	0.000000
142,	20.275000,	68.339996,	28.244999,	0.000000
143,	19.594999,	65.979998,	29.735001,	0.000000
144,	19.225000,	66.144999,	32.330002,	0.000000
145,	19.575001,	66.999998,	32.090000,	0.000000
146,	19.455000,	67.275003,	32.509998,	0.000000
147,	19.930000,	67.324999,	31.685001,	0.000000
148,	19.410000,	65.999996,	30.920002,	0.000000
149,	18.965000,	63.805002,	28.685001,	0.000000
150,	18.434999,	61.805000,	26.459999,	0.000000
151,	17.420000,	56.885000,	24.014999,	0.000000
152,	16.530001,	54.715000,	21.970001,	0.000000
153,	15.330000,	49.945004,	19.805000,	0.000000
154,	14.785000,	46.895000,	18.045000,	0.000000
155,	13.465000,	43.449997,	16.480000,	0.000000
156,	12.385000,	39.895000,	15.600000,	0.000000
157,	11.920000,	38.914999,	15.485000,	0.000000
158,	11.639999,	37.465000,	15.240000,	0.000000
159,	11.139999,	36.304998,	15.895000,	0.000000
160,	10.975000,	36.795000,	15.065000,	0.000000
161,	10.525001,	34.519999,	15.235001,	0.000000
162,	10.420000,	34.210000,	15.210000,	0.000000
