Time,	NewLatentMB,	NewInfectiousMB,	NewInfectiousIdentifiedMB,	NewInfectiousUnderTreatmeanMB,	NewInfectiousNotCuredMB,	NewRecoveredLatentMB,	NewRelapseMB
70,	39.910000,	35.860001,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
71,	39.810001,	37.400002,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
72,	40.770000,	38.599998,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
73,	42.880001,	40.029999,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
74,	43.360001,	40.110001,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
75,	44.540001,	41.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
76,	47.299999,	43.950001,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
77,	47.820000,	44.330002,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
78,	49.910000,	46.049999,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
79,	49.169998,	46.520000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
80,	51.730000,	48.380001,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
81,	52.840000,	49.099998,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
82,	55.189999,	51.270000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
83,	56.610001,	52.180000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
84,	58.299999,	54.490002,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
85,	60.250000,	55.970001,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
86,	63.439999,	58.650002,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
87,	64.010002,	59.500000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
88,	66.769997,	61.980000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
89,	69.809998,	64.970001,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
90,	69.900002,	64.900002,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
91,	72.980003,	66.199997,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
92,	76.129997,	69.949997,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
93,	75.610001,	70.800003,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
94,	77.970001,	73.660004,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
95,	82.300003,	75.739998,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
96,	83.449997,	77.870003,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
97,	85.110001,	79.169998,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
98,	88.290001,	82.269997,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
99,	90.459999,	83.519997,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
100,	92.639999,	85.629997,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
101,	89.489998,	85.169998,	19.850000,	48.250000,	0.000000,	0.000000,	0.000000
102,	78.070000,	80.000000,	15.920000,	57.110001,	0.000000,	0.000000,	0.000000
103,	65.839996,	74.120003,	8.930000,	67.309998,	0.000000,	0.000000,	0.000000
104,	55.779999,	68.680000,	0.000000,	77.510002,	0.000000,	0.000000,	0.000000
105,	46.189999,	53.889999,	0.000000,	58.169998,	0.000000,	0.000000,	0.000000
106,	40.000000,	46.959999,	0.000000,	47.980000,	0.000000,	0.000000,	0.000000
107,	33.340000,	38.200001,	0.000000,	38.200001,	0.000000,	0.000000,	0.000000
108,	28.260000,	33.230000,	0.000000,	33.270000,	0.000000,	0.000000,	0.000000
109,	24.980000,	28.639999,	0.000000,	28.680000,	0.000000,	0.000000,	0.000000
110,	21.340000,	24.440001,	0.000000,	24.420000,	0.000000,	0.000000,	0.000000
111,	17.820000,	20.139999,	0.000000,	20.120001,	0.000000,	0.000000,	0.000000
112,	15.330000,	17.410000,	0.000000,	17.440001,	0.000000,	0.000000,	0.000000
113,	14.830000,	16.180000,	5.370000,	16.620001,	1.220000,	26.120001,	0.000000
114,	17.219999,	17.110001,	12.240000,	20.510000,	1.550000,	31.809999,	0.000000
115,	20.260000,	19.260000,	16.040001,	26.410000,	1.910000,	37.450001,	0.000000
116,	22.500000,	20.490000,	18.350000,	31.450001,	1.930000,	43.970001,	0.000000
117,	25.280001,	23.100000,	17.580000,	35.759998,	1.500000,	31.010000,	0.000000
118,	25.360001,	23.320000,	14.320000,	36.590000,	1.150000,	26.020000,	0.000000
119,	23.809999,	23.100000,	11.870000,	35.000000,	0.960000,	20.590000,	0.000000
120,	21.250000,	21.590000,	9.830000,	31.250000,	0.720000,	18.040001,	0.000000
121,	19.910000,	20.270000,	8.090000,	28.170000,	0.780000,	14.950000,	0.000000
122,	18.290001,	19.059999,	6.950000,	25.959999,	0.850000,	12.780000,	0.000000
123,	16.889999,	17.770000,	6.100000,	23.150000,	0.360000,	10.230000,	0.000000
124,	15.200000,	15.390000,	5.180000,	20.040001,	0.400000,	9.310000,	0.000000
125,	13.530000,	14.200000,	4.410000,	18.400000,	0.390000,	8.600000,	0.000000
126,	12.270000,	13.090000,	4.350000,	16.660000,	0.510000,	10.970000,	0.000000
127,	12.240000,	12.390000,	5.560000,	15.920000,	0.600000,	13.890000,	0.000000
128,	12.440000,	12.310000,	7.170000,	16.790001,	0.780000,	16.400000,	0.000000
129,	13.390000,	12.840000,	8.490000,	17.299999,	0.920000,	18.799999,	0.000000
130,	13.830000,	13.330000,	8.630000,	19.540001,	0.910000,	18.950001,	0.000000
131,	13.300000,	12.510000,	8.800000,	19.059999,	1.110000,	18.309999,	0.000000
132,	13.990000,	13.630000,	8.020000,	19.930000,	0.730000,	15.890000,	0.000000
133,	14.710000,	14.020000,	8.010000,	19.990000,	0.750000,	14.360000,	0.000000
134,	13.900000,	13.830000,	6.960000,	20.080000,	0.720000,	12.970000,	0.000000
135,	13.500000,	13.240000,	6.070000,	18.750000,	0.630000,	11.690000,	0.000000
136,	12.290000,	12.730000,	5.800000,	17.209999,	0.560000,	10.220000,	0.000000
137,	11.320000,	11.620000,	4.500000,	15.720000,	0.370000,	9.320000,	0.000000
138,	10.550000,	10.600000,	4.070000,	14.540000,	0.420000,	8.350000,	0.000000
139,	10.320000,	10.540000,	3.750000,	14.060000,	0.360000,	8.070000,	0.000000
140,	9.200000,	9.050000,	3.830000,	11.590000,	0.440000,	8.590000,	0.000000
141,	9.120000,	9.130000,	4.260000,	12.230000,	0.460000,	8.710000,	0.000000
142,	9.110000,	9.180000,	4.260000,	12.290000,	0.550000,	9.770000,	0.000000
143,	8.850000,	8.810000,	4.740000,	12.290000,	0.590000,	9.230000,	0.000000
144,	8.610000,	8.280000,	4.520000,	11.590000,	0.450000,	10.190000,	0.000000
145,	8.560000,	8.530000,	4.630000,	11.690000,	0.590000,	9.810000,	0.000000
146,	8.440000,	8.200000,	4.740000,	11.490000,	0.640000,	9.770000,	0.000000
147,	8.560000,	8.720000,	4.740000,	12.030000,	0.500000,	9.080000,	0.000000
148,	8.020000,	8.080000,	4.440000,	11.790000,	0.510000,	8.930000,	0.000000
149,	8.000000,	7.660000,	4.120000,	10.930000,	0.490000,	8.040000,	0.000000
150,	7.730000,	7.560000,	3.830000,	10.610000,	0.310000,	7.290000,	0.000000
151,	7.410000,	7.600000,	3.560000,	10.690000,	0.300000,	6.870000,	0.000000
152,	6.820000,	6.520000,	3.090000,	9.270000,	0.340000,	5.700000,	0.000000
153,	6.260000,	6.340000,	3.010000,	8.880000,	0.220000,	6.110000,	0.000000
154,	5.820000,	5.950000,	2.660000,	8.120000,	0.370000,	6.220000,	0.000000
155,	5.830000,	5.890000,	2.910000,	8.150000,	0.270000,	5.720000,	0.000000
156,	6.080000,	5.850000,	2.850000,	8.030000,	0.310000,	5.710000,	0.000000
157,	5.710000,	5.780000,	2.520000,	7.790000,	0.300000,	6.060000,	0.000000
158,	5.500000,	5.550000,	2.730000,	7.540000,	0.250000,	5.720000,	0.000000
159,	5.430000,	5.380000,	2.650000,	7.180000,	0.330000,	5.840000,	0.000000
160,	5.020000,	5.100000,	2.760000,	7.020000,	0.270000,	5.810000,	0.000000
161,	5.430000,	5.420000,	2.550000,	7.410000,	0.340000,	5.120000,	0.000000
162,	4.780000,	4.780000,	2.490000,	6.750000,	0.200000,	5.310000,	0.000000
163,	5.180000,	5.100000,	2.570000,	6.920000,	0.270000,	5.170000,	0.000000
164,	4.900000,	4.790000,	2.320000,	6.620000,	0.180000,	4.350000,	0.000000
165,	4.640000,	4.710000,	2.140000,	6.700000,	0.210000,	4.350000,	0.000000
166,	4.590000,	4.220000,	1.780000,	5.780000,	0.180000,	3.950000,	0.000000
167,	4.180000,	4.240000,	1.890000,	5.790000,	0.260000,	3.950000,	0.000000
168,	3.870000,	3.810000,	2.020000,	5.210000,	0.240000,	3.960000,	0.000000
169,	3.870000,	3.980000,	1.750000,	5.290000,	0.200000,	3.510000,	0.000000
170,	3.810000,	3.800000,	1.800000,	5.050000,	0.240000,	3.700000,	0.000000
171,	3.680000,	3.700000,	1.820000,	5.260000,	0.150000,	3.400000,	0.000000
172,	3.330000,	3.340000,	1.540000,	4.370000,	0.170000,	3.310000,	0.000000
173,	3.240000,	3.330000,	1.640000,	4.450000,	0.180000,	3.510000,	0.000000
174,	2.860000,	3.000000,	1.360000,	4.300000,	0.170000,	3.280000,	0.000000
175,	3.300000,	3.020000,	1.590000,	4.190000,	0.140000,	3.350000,	0.000000
176,	3.250000,	3.220000,	1.500000,	4.240000,	0.140000,	3.130000,	0.000000
177,	3.210000,	3.180000,	1.480000,	4.370000,	0.170000,	3.310000,	0.000000
178,	3.160000,	3.150000,	1.310000,	4.100000,	0.160000,	2.790000,	0.000000
179,	2.650000,	2.560000,	1.480000,	3.460000,	0.130000,	2.810000,	0.000000
180,	2.890000,	2.940000,	1.240000,	3.820000,	0.130000,	2.380000,	0.000000
181,	2.550000,	2.540000,	1.300000,	3.500000,	0.140000,	2.700000,	0.000000
182,	2.380000,	2.300000,	1.250000,	3.310000,	0.130000,	2.440000,	0.000000
183,	2.640000,	2.660000,	1.210000,	3.530000,	0.080000,	2.560000,	0.000000
184,	2.340000,	2.480000,	1.160000,	3.310000,	0.090000,	2.160000,	0.000000
185,	2.510000,	2.610000,	1.050000,	3.450000,	0.100000,	2.250000,	0.000000
186,	2.190000,	2.010000,	1.080000,	2.760000,	0.150000,	2.160000,	0.000000
187,	2.360000,	2.320000,	0.990000,	3.170000,	0.100000,	2.130000,	0.000000
188,	2.170000,	2.120000,	1.000000,	3.030000,	0.090000,	2.030000,	0.000000
189,	2.020000,	2.100000,	1.060000,	2.730000,	0.170000,	1.950000,	0.000000
190,	1.740000,	1.830000,	0.920000,	2.570000,	0.110000,	1.870000,	0.000000
191,	1.670000,	1.660000,	0.920000,	2.340000,	0.150000,	1.580000,	0.000000
192,	1.960000,	1.840000,	0.830000,	2.450000,	0.080000,	1.920000,	0.000000
193,	1.640000,	1.700000,	0.720000,	2.300000,	0.010000,	1.770000,	0.000000
194,	1.830000,	1.640000,	0.980000,	2.230000,	0.060000,	1.650000,	0.000000
195,	1.780000,	1.790000,	0.990000,	2.370000,	0.080000,	1.850000,	0.000000
196,	1.670000,	1.640000,	0.840000,	2.370000,	0.080000,	1.680000,	0.000000
197,	1.590000,	1.600000,	0.790000,	2.260000,	0.060000,	1.860000,	0.000000
198,	1.700000,	1.580000,	0.750000,	2.150000,	0.090000,	1.240000,	0.000000
199,	1.630000,	1.590000,	0.660000,	1.960000,	0.080000,	1.610000,	0.000000
200,	1.500000,	1.540000,	0.690000,	2.050000,	0.080000,	1.520000,	0.000000
