Time,	NewLatent,	NewInfectious,	NewInfectiousIdentified,	NewInfectiousUnderTreatmean,	NewInfectiousNotCured,	NewRecoveredLatent,	NewRelapse
149,	11.920000,	11.660000,	11.139999,	31.880001,	0.610000,	14.620000,	0.000000
150,	11.510000,	11.260000,	10.559999,	30.090000,	0.530000,	13.120000,	0.000000
151,	11.400000,	11.240000,	9.690001,	29.029999,	0.490000,	12.270000,	0.000000
152,	9.870000,	9.760000,	8.760000,	25.600000,	0.490000,	10.820000,	0.000000
153,	8.970000,	9.160000,	8.360000,	23.860001,	0.330000,	10.880000,	0.000000
154,	8.770000,	8.920000,	7.730000,	22.480000,	0.450000,	10.549999,	0.000000
155,	8.230000,	8.280000,	7.410000,	22.290001,	0.400000,	9.820000,	0.000000
156,	8.650000,	8.350000,	7.410000,	21.759998,	0.400000,	9.580000,	0.000000
157,	7.740000,	7.810000,	6.350000,	20.150000,	0.420000,	9.480000,	0.000000
158,	8.010000,	7.900000,	6.930000,	20.369999,	0.350000,	9.250000,	0.000000
159,	7.460000,	7.630000,	6.700000,	19.709999,	0.450000,	9.110001,	0.000000
160,	6.990000,	6.930000,	6.200000,	18.660000,	0.350000,	8.780000,	0.000000
161,	7.230000,	7.300000,	5.770000,	18.309999,	0.420000,	8.010000,	0.000000
162,	6.550000,	6.600000,	5.550000,	17.240000,	0.270000,	8.400000,	0.000000
163,	6.880000,	6.810000,	5.530000,	17.170000,	0.330000,	7.880000,	0.000000
164,	6.600000,	6.560000,	5.440000,	16.450001,	0.250000,	6.690000,	0.000000
165,	6.200000,	6.210000,	4.820000,	15.760000,	0.230000,	6.580000,	0.000000
166,	5.920000,	5.620000,	4.230000,	14.090000,	0.240000,	6.500000,	0.000000
167,	5.610000,	5.670000,	4.490000,	14.160000,	0.330000,	5.930000,	0.000000
168,	5.230000,	5.210000,	4.420000,	12.990000,	0.320000,	5.740000,	0.000000
169,	5.090000,	5.100000,	3.800000,	12.510000,	0.230000,	5.320000,	0.000000
170,	4.840000,	4.900000,	3.820000,	12.120001,	0.290000,	5.550000,	0.000000
171,	4.740000,	4.730000,	3.560000,	11.830000,	0.200000,	5.200000,	0.000000
172,	4.390000,	4.430000,	3.420000,	10.870000,	0.220000,	4.790000,	0.000000
173,	4.200000,	4.270000,	3.360000,	10.750000,	0.210000,	4.960000,	0.000000
174,	3.860000,	3.910000,	3.010000,	10.220000,	0.210000,	4.670000,	0.000000
175,	4.070000,	3.760000,	2.960000,	9.710000,	0.150000,	4.280000,	0.000000
176,	3.960000,	3.980000,	2.810000,	9.910000,	0.150000,	4.410000,	0.000000
177,	4.010000,	4.100000,	2.810000,	9.690001,	0.170000,	4.430000,	0.000000
178,	3.870000,	3.850000,	2.500000,	8.880000,	0.200000,	3.820000,	0.000000
179,	3.220000,	3.160000,	2.640000,	8.460000,	0.140000,	4.020000,	0.000000
180,	3.550000,	3.530000,	2.520000,	8.230000,	0.150000,	3.390000,	0.000000
181,	3.250000,	3.220000,	2.470000,	8.150000,	0.160000,	3.700000,	0.000000
182,	3.060000,	2.950000,	2.140000,	7.290000,	0.150000,	3.390000,	0.000000
183,	3.170000,	3.200000,	2.050000,	7.670000,	0.120000,	3.370000,	0.000000
184,	2.870000,	2.950000,	2.010000,	7.060000,	0.120000,	2.970000,	0.000000
185,	2.890000,	3.060000,	1.860000,	7.000000,	0.110000,	3.060000,	0.000000
186,	2.700000,	2.540000,	2.070000,	6.590000,	0.160000,	2.900000,	0.000000
187,	3.040000,	3.000000,	2.010000,	6.760000,	0.110000,	2.670000,	0.000000
188,	2.540000,	2.470000,	1.550000,	6.150000,	0.100000,	2.610000,	0.000000
189,	2.470000,	2.550000,	1.740000,	6.000000,	0.190000,	2.630000,	0.000000
