Time,	Latent,	Infectious,	InfectiousIdentified,	InfectiousUnderTreatmean,	InfectiousNotCured,	TotalInfectious,	RecoveredLatent,	Relapse
62,	87.610001,	738.960022,	0.000000,	0.000000,	0.000000,	738.960007,	0.000000,	0.000000
63,	87.779999,	750.969971,	0.000000,	0.000000,	0.000000,	750.970001,	0.000000,	0.000000
64,	89.550003,	763.329956,	0.000000,	0.000000,	0.000000,	763.329987,	0.000000,	0.000000
65,	90.970001,	777.849976,	0.000000,	0.000000,	0.000000,	777.850006,	0.000000,	0.000000
66,	92.900002,	790.140015,	0.000000,	0.000000,	0.000000,	790.139999,	0.000000,	0.000000
67,	94.589996,	799.260010,	0.000000,	0.000000,	0.000000,	799.260010,	0.000000,	0.000000
68,	96.509995,	811.270020,	0.000000,	0.000000,	0.000000,	811.270020,	0.000000,	0.000000
69,	99.110001,	824.619995,	0.000000,	0.000000,	0.000000,	824.619995,	0.000000,	0.000000
70,	101.870003,	835.209961,	0.000000,	0.000000,	0.000000,	835.209991,	0.000000,	0.000000
71,	102.479996,	848.539978,	0.000000,	0.000000,	0.000000,	848.539993,	0.000000,	0.000000
72,	102.559998,	861.760010,	0.000000,	0.000000,	0.000000,	861.759995,	0.000000,	0.000000
73,	104.149994,	874.459961,	0.000000,	0.000000,	0.000000,	874.459991,	0.000000,	0.000000
74,	107.779999,	887.290039,	0.000000,	0.000000,	0.000000,	887.290024,	0.000000,	0.000000
75,	110.760002,	898.550049,	0.000000,	0.000000,	0.000000,	898.550018,	0.000000,	0.000000
76,	112.169998,	910.119995,	0.000000,	0.000000,	0.000000,	910.119965,	0.000000,	0.000000
77,	113.990005,	925.040039,	0.000000,	0.000000,	0.000000,	925.040024,	0.000000,	0.000000
78,	117.059998,	938.640015,	0.000000,	0.000000,	0.000000,	938.639984,	0.000000,	0.000000
79,	117.149994,	952.070007,	0.000000,	0.000000,	0.000000,	952.069992,	0.000000,	0.000000
80,	119.180000,	966.089966,	0.000000,	0.000000,	0.000000,	966.089996,	0.000000,	0.000000
81,	121.580002,	978.619995,	0.000000,	0.000000,	0.000000,	978.619995,	0.000000,	0.000000
82,	123.540001,	991.090027,	0.000000,	0.000000,	0.000000,	991.090027,	0.000000,	0.000000
83,	127.760002,	1005.679932,	0.000000,	0.000000,	0.000000,	1005.679962,	0.000000,	0.000000
84,	129.270004,	1021.839966,	0.000000,	0.000000,	0.000000,	1021.839996,	0.000000,	0.000000
85,	131.649994,	1035.040039,	0.000000,	0.000000,	0.000000,	1035.040009,	0.000000,	0.000000
86,	133.649994,	1051.989990,	0.000000,	0.000000,	0.000000,	1051.989990,	0.000000,	0.000000
87,	136.630005,	1067.160034,	0.000000,	0.000000,	0.000000,	1067.160004,	0.000000,	0.000000
88,	139.649994,	1079.929932,	0.000000,	0.000000,	0.000000,	1079.929993,	0.000000,	0.000000
89,	141.929993,	1097.020020,	0.000000,	0.000000,	0.000000,	1097.019958,	0.000000,	0.000000
90,	144.440002,	1111.900024,	0.000000,	0.000000,	0.000000,	1111.899994,	0.000000,	0.000000
91,	149.339996,	1128.680054,	0.000000,	0.000000,	0.000000,	1128.680023,	0.000000,	0.000000
92,	152.869995,	1146.709961,	0.000000,	0.000000,	0.000000,	1146.709991,	0.000000,	0.000000
93,	154.800003,	1163.430054,	0.000000,	0.000000,	0.000000,	1163.430023,	0.000000,	0.000000
94,	155.580002,	1178.369995,	0.000000,	0.000000,	0.000000,	1178.369995,	0.000000,	0.000000
95,	158.360001,	1196.609985,	0.000000,	0.000000,	0.000000,	1196.610016,	0.000000,	0.000000
96,	160.059998,	1218.520020,	0.000000,	0.000000,	0.000000,	1218.519989,	0.000000,	0.000000
97,	162.549988,	1235.489990,	0.000000,	0.000000,	0.000000,	1235.489990,	0.000000,	0.000000
98,	165.179993,	1252.869995,	0.000000,	0.000000,	0.000000,	1252.869995,	0.000000,	0.000000
99,	171.070007,	1269.189941,	0.000000,	0.000000,	0.000000,	1269.190002,	0.000000,	0.000000
100,	174.369995,	1289.429932,	0.000000,	0.000000,	0.000000,	1289.429993,	0.000000,	0.000000
101,	129.290009,	1139.119995,	29.180000,	69.430000,	0.000000,	1168.300049,	0.000000,	0.000000
102,	91.860001,	1004.489990,	36.349998,	149.860001,	0.000000,	1040.839996,	0.000000,	0.000000
103,	65.580002,	877.599976,	27.660000,	238.940002,	0.000000,	905.259979,	0.000000,	0.000000
104,	49.849998,	752.440002,	9.930000,	329.369995,	0.000000,	762.369995,	0.000000,	0.000000
105,	40.950001,	645.809998,	1.790000,	390.700012,	0.000000,	647.599991,	0.000000,	0.000000
106,	33.990002,	552.869995,	0.000000,	433.789978,	0.000000,	552.869995,	0.000000,	0.000000
107,	26.860001,	474.160004,	0.000000,	465.390015,	0.000000,	474.160004,	0.000000,	0.000000
108,	21.820000,	405.320007,	0.000000,	488.260010,	0.000000,	405.319992,	0.000000,	0.000000
109,	17.270000,	346.149994,	0.000000,	502.730011,	0.000000,	346.149994,	0.000000,	0.000000
110,	14.440001,	294.380005,	0.000000,	510.910034,	0.000000,	294.380005,	0.000000,	0.000000
111,	11.670000,	249.130005,	0.000000,	514.159973,	0.000000,	249.129997,	0.000000,	0.000000
112,	9.830000,	210.490005,	0.000000,	511.510010,	0.000000,	210.490005,	0.000000,	0.000000
113,	8.550000,	182.519989,	3.420000,	469.039978,	1.220000,	187.160004,	27.400000,	0.000000
114,	7.710000,	164.209991,	9.940001,	419.390015,	2.330000,	176.480003,	48.880001,	0.000000
115,	7.210000,	153.489990,	17.900000,	366.640015,	3.760000,	175.150002,	64.279999,	0.000000
116,	7.050000,	147.449997,	23.700001,	319.880005,	4.960000,	176.110001,	73.860001,	0.000000
117,	7.280000,	142.440002,	24.500000,	294.000000,	5.410000,	172.350006,	68.930000,	0.000000
118,	7.130000,	135.130005,	22.950001,	278.390015,	5.580000,	163.660004,	60.480000,	0.000000
119,	7.140000,	126.809998,	19.849998,	267.739990,	5.540000,	152.199997,	52.610001,	0.000000
120,	6.400000,	118.320000,	17.549999,	258.559998,	5.020000,	140.890007,	45.399998,	0.000000
121,	6.040000,	108.360001,	14.910000,	251.649994,	4.800000,	128.069996,	39.770000,	0.000000
122,	5.210000,	99.520004,	12.760000,	245.750000,	4.410000,	116.689999,	33.620003,	0.000000
123,	5.010000,	90.460007,	10.660000,	239.220001,	4.280000,	105.400002,	28.600000,	0.000000
124,	4.340000,	81.960007,	8.710000,	232.459991,	3.920000,	94.590000,	24.209999,	0.000000
125,	3.680000,	74.400002,	7.480000,	225.149994,	3.530000,	85.410004,	21.090000,	0.000000
126,	3.400000,	66.620003,	6.810000,	216.179993,	3.330000,	76.759998,	19.220001,	0.000000
127,	3.020000,	59.930000,	6.780000,	204.429993,	3.250000,	69.959999,	19.290001,	0.000000
128,	2.610000,	55.190002,	6.970000,	190.089996,	3.140000,	65.299997,	21.660000,	0.000000
129,	2.440000,	52.049999,	8.120000,	173.639999,	2.960000,	63.130001,	23.529999,	0.000000
130,	2.500000,	49.270000,	8.520000,	159.130005,	3.200000,	60.990000,	24.010000,	0.000000
131,	2.470000,	47.129997,	8.870000,	146.919998,	3.030000,	59.030001,	23.289999,	0.000000
132,	2.640000,	45.029999,	8.380000,	136.289993,	2.920000,	56.329998,	21.670000,	0.000000
133,	2.480000,	42.669998,	7.740000,	126.440002,	2.990000,	53.400000,	20.889999,	0.000000
134,	2.220000,	40.239998,	7.720000,	118.559998,	2.790000,	50.750000,	18.879999,	0.000000
135,	2.090000,	37.669998,	7.070000,	111.930000,	2.780000,	47.519999,	16.910000,	0.000000
136,	1.810000,	34.950001,	5.920000,	105.520004,	2.630000,	43.500000,	15.580000,	0.000000
137,	1.700000,	32.190002,	5.160000,	101.169998,	2.320000,	39.670000,	13.370000,	0.000000
138,	1.650000,	29.420000,	4.650000,	96.410004,	2.130000,	36.200001,	12.240000,	0.000000
139,	1.680000,	27.360001,	4.320000,	91.449997,	1.950000,	33.630001,	10.580000,	0.000000
140,	1.430000,	24.810001,	3.730000,	87.080002,	1.720000,	30.260001,	9.750000,	0.000000
141,	1.300000,	22.549999,	3.330000,	81.699997,	1.570000,	27.449999,	9.520000,	0.000000
142,	1.170000,	20.990000,	3.020000,	76.110001,	1.440000,	25.450001,	9.230000,	0.000000
143,	1.030000,	19.310001,	3.170000,	70.709999,	1.380000,	23.860001,	9.030001,	0.000000
144,	0.910000,	18.240000,	3.160000,	65.360001,	1.290000,	22.690000,	8.330000,	0.000000
145,	0.940000,	17.400002,	3.350000,	60.139999,	1.170000,	21.920001,	7.530000,	0.000000
146,	0.860000,	16.010000,	2.720000,	56.400002,	1.150000,	19.880000,	7.260000,	0.000000
147,	0.870000,	15.020000,	2.560000,	52.430000,	1.170000,	18.750000,	7.010000,	0.000000
148,	0.740000,	13.650000,	2.410000,	49.189999,	1.210000,	17.270000,	6.610000,	0.000000
149,	0.700000,	12.920000,	2.250000,	45.660000,	1.190000,	16.360001,	6.090000,	0.000000
150,	0.670000,	11.840000,	2.340000,	42.709999,	1.110000,	15.290000,	5.630000,	0.000000
151,	0.660000,	10.890000,	2.020000,	40.010002,	0.960000,	13.870000,	5.400000,	0.000000
152,	0.550000,	10.350000,	1.970000,	37.510002,	0.820000,	13.139999,	4.630000,	0.000000
153,	0.660000,	9.360000,	1.990000,	35.040001,	0.700000,	12.050000,	4.260000,	0.000000
154,	0.660000,	8.790000,	1.450000,	32.619999,	0.630000,	10.870000,	4.060000,	0.000000
155,	0.500000,	8.389999,	1.390000,	30.700001,	0.580000,	10.360000,	3.360000,	0.000000
156,	0.420000,	7.760000,	1.350000,	28.699999,	0.570000,	9.680000,	3.130000,	0.000000
157,	0.380000,	7.410000,	1.220000,	26.840000,	0.490000,	9.120000,	2.950000,	0.000000
158,	0.380000,	7.140000,	1.060000,	25.009998,	0.460000,	8.660000,	2.890000,	0.000000
159,	0.370000,	6.620000,	1.230000,	23.430000,	0.460000,	8.310000,	2.590000,	0.000000
160,	0.400000,	6.100000,	1.260000,	21.780001,	0.450000,	7.810000,	2.380000,	0.000000
161,	0.340000,	5.660000,	0.970000,	20.799999,	0.410000,	7.040000,	2.190000,	0.000000
162,	0.270000,	5.320000,	0.930000,	19.160000,	0.400000,	6.650000,	2.250000,	0.000000
163,	0.270000,	5.150000,	0.980000,	17.820000,	0.360000,	6.490000,	1.990000,	0.000000
164,	0.280000,	5.020000,	0.860000,	16.889999,	0.350000,	6.230000,	1.780000,	0.000000
165,	0.310000,	4.720000,	0.720000,	15.850000,	0.340000,	5.780000,	1.590000,	0.000000
166,	0.270000,	4.470000,	0.700000,	14.940000,	0.330000,	5.500000,	1.640000,	0.000000
167,	0.190000,	4.180000,	0.680000,	13.970000,	0.270000,	5.130000,	1.430000,	0.000000
168,	0.200000,	3.930000,	0.550000,	13.059999,	0.250000,	4.730000,	1.270000,	0.000000
169,	0.180000,	3.890000,	0.620000,	12.120000,	0.220000,	4.730000,	1.220000,	0.000000
170,	0.220000,	3.570000,	0.560000,	11.520000,	0.200000,	4.330000,	1.180000,	0.000000
171,	0.200000,	3.280000,	0.580000,	10.610001,	0.190000,	4.050000,	1.130000,	0.000000
172,	0.170000,	3.110000,	0.420000,	10.000000,	0.180000,	3.710000,	1.050000,	0.000000
173,	0.150000,	3.010000,	0.520000,	9.280000,	0.200000,	3.730000,	0.880000,	0.000000
174,	0.150000,	2.820000,	0.520000,	8.700001,	0.170000,	3.510000,	0.930000,	0.000000
175,	0.120000,	2.720000,	0.380000,	8.320000,	0.200000,	3.300000,	0.890000,	0.000000
176,	0.100000,	2.610000,	0.360000,	7.890000,	0.140000,	3.110000,	0.750000,	0.000000
177,	0.110000,	2.650000,	0.270000,	7.370000,	0.120000,	3.040000,	0.600000,	0.000000
178,	0.110000,	2.410000,	0.220000,	6.740000,	0.110000,	2.740000,	0.800000,	0.000000
179,	0.140000,	2.210000,	0.310000,	6.340000,	0.080000,	2.600000,	0.590000,	0.000000
180,	0.140000,	2.140000,	0.250000,	6.120000,	0.080000,	2.470000,	0.540000,	0.000000
181,	0.170000,	2.070000,	0.190000,	5.700000,	0.070000,	2.330000,	0.450000,	0.000000
182,	0.160000,	1.920000,	0.220000,	5.350000,	0.090000,	2.230000,	0.450000,	0.000000
183,	0.110000,	1.770000,	0.190000,	5.110000,	0.100000,	2.060000,	0.420000,	0.000000
184,	0.070000,	1.730000,	0.180000,	4.750000,	0.090000,	2.000000,	0.470000,	0.000000
185,	0.030000,	1.750000,	0.210000,	4.430000,	0.080000,	2.040000,	0.410000,	0.000000
186,	0.080000,	1.770000,	0.220000,	4.000000,	0.070000,	2.060000,	0.450000,	0.000000
187,	0.110000,	1.730000,	0.160000,	3.780000,	0.070000,	1.960000,	0.480000,	0.000000
188,	0.090000,	1.710000,	0.180000,	3.640000,	0.070000,	1.960000,	0.420000,	0.000000
189,	0.140000,	1.630000,	0.130000,	3.460000,	0.060000,	1.820000,	0.420000,	0.000000
190,	0.110000,	1.630000,	0.160000,	3.270000,	0.070000,	1.860000,	0.420000,	0.000000
191,	0.090000,	1.640000,	0.150000,	3.180000,	0.050000,	1.840000,	0.350000,	0.000000
192,	0.060000,	1.600000,	0.150000,	2.870000,	0.030000,	1.780000,	0.310000,	0.000000
193,	0.070000,	1.440000,	0.150000,	2.830000,	0.030000,	1.620000,	0.250000,	0.000000
194,	0.040000,	1.410000,	0.090000,	2.770000,	0.030000,	1.530000,	0.300000,	0.000000
195,	0.050000,	1.370000,	0.110000,	2.610000,	0.050000,	1.530000,	0.300000,	0.000000
196,	0.060000,	1.380000,	0.140000,	2.480000,	0.050000,	1.570000,	0.200000,	0.000000
197,	0.050000,	1.320000,	0.080000,	2.370000,	0.060000,	1.460000,	0.160000,	0.000000
198,	0.050000,	1.300000,	0.080000,	2.330000,	0.070000,	1.450000,	0.120000,	0.000000
199,	0.040000,	1.230000,	0.120000,	2.160000,	0.060000,	1.410000,	0.150000,	0.000000
200,	0.030000,	1.260000,	0.040000,	2.120000,	0.070000,	1.370000,	0.150000,	0.000000
