Time,	NewLatentTotal,	NewTotalInfectiousTotal,	NewRecoveredTotal,	NewRelapseTotal
121,	21.000000,	92.885006,	44.080002,	0.000000
122,	18.955000,	81.514999,	37.950001,	0.000000
123,	16.460001,	70.790001,	32.860001,	0.000000
124,	15.160000,	64.235001,	28.375000,	0.000000
125,	13.434999,	58.639999,	34.845001,	0.000000
126,	12.870001,	67.070000,	52.630001,	0.000000
127,	11.965000,	69.899998,	57.790001,	0.000000
128,	12.565001,	73.910000,	57.514999,	0.000000
129,	12.200000,	72.195000,	54.425003,	0.000000
130,	11.570000,	69.920002,	49.299999,	0.000000
131,	10.790000,	65.594997,	44.885002,	0.000000
132,	10.635000,	61.310001,	40.174999,	0.000000
133,	9.365000,	54.974998,	35.480000,	0.000000
134,	8.945000,	51.439999,	31.285000,	0.000000
135,	8.540000,	46.025000,	27.299999,	0.000000
136,	7.890000,	41.610001,	24.255001,	0.000000
137,	6.950000,	37.770000,	21.730000,	0.000000
138,	6.620000,	36.330002,	25.070000,	0.000000
139,	6.325000,	37.674999,	26.795000,	0.000000
140,	6.325000,	37.830000,	28.484999,	0.000000
141,	6.400000,	37.875003,	27.395000,	0.000000
142,	5.965000,	36.680000,	27.110001,	0.000000
143,	5.835000,	35.660001,	25.805000,	0.000000
144,	5.640000,	33.519999,	23.584999,	0.000000
145,	5.495000,	31.770000,	21.404999,	0.000000
146,	5.065000,	29.019999,	19.200001,	0.000000
147,	4.905000,	27.360001,	17.455000,	0.000000
148,	4.555000,	24.475000,	15.139999,	0.000000
149,	3.810000,	22.130001,	14.370000,	0.000000
150,	3.600000,	20.550001,	13.495000,	0.000000
151,	3.400000,	20.090000,	13.595000,	0.000000
152,	3.170000,	19.300000,	13.570000,	0.000000
153,	3.360000,	19.150000,	13.530000,	0.000000
154,	3.185000,	18.770000,	12.684999,	0.000000
155,	2.865000,	17.230000,	12.595000,	0.000000
156,	2.795000,	17.165000,	11.915000,	0.000000
157,	2.885000,	16.125000,	11.209999,	0.000000
158,	2.490000,	14.870000,	9.925000,	0.000000
159,	2.465000,	13.944999,	9.365000,	0.000000
160,	2.375000,	13.445001,	8.730000,	0.000000
161,	2.010000,	11.665000,	7.780000,	0.000000
162,	1.980000,	11.025000,	7.195000,	0.000000
163,	1.980000,	10.380000,	6.785000,	0.000000
164,	1.850000,	9.975000,	6.475000,	0.000000
165,	1.630000,	9.130000,	6.230000,	0.000000
166,	1.655000,	9.255000,	5.915000,	0.000000
167,	1.500000,	8.720000,	5.690000,	0.000000
168,	1.275000,	8.050000,	5.675000,	0.000000
169,	1.325000,	7.395000,	5.245000,	0.000000
170,	1.195000,	7.145000,	4.800000,	0.000000
171,	1.150000,	6.555000,	4.455000,	0.000000
172,	1.270000,	6.890000,	4.310000,	0.000000
173,	1.095000,	5.665000,	3.700000,	0.000000
174,	1.100000,	5.600000,	3.425000,	0.000000
175,	1.215000,	5.470000,	3.170000,	0.000000
176,	1.165000,	5.320000,	3.330000,	0.000000
177,	1.000000,	4.930000,	2.890000,	0.000000
178,	0.935000,	4.600000,	2.805000,	0.000000
179,	0.870000,	4.295000,	2.630000,	0.000000
180,	0.895000,	3.920000,	2.480000,	0.000000
181,	0.755000,	3.645000,	2.215000,	0.000000
182,	0.765000,	3.800000,	2.175000,	0.000000
183,	0.690000,	3.630000,	2.120000,	0.000000
184,	0.765000,	3.080000,	2.070000,	0.000000
185,	0.765000,	3.205000,	1.735000,	0.000000
186,	0.670000,	2.870000,	1.740000,	0.000000
187,	0.585000,	2.885000,	1.650000,	0.000000
188,	0.590000,	2.660000,	1.600000,	0.000000
189,	0.605000,	2.575000,	1.515000,	0.000000
190,	0.580000,	2.490000,	1.235000,	0.000000
191,	0.555000,	2.275000,	1.170000,	0.000000
192,	0.610000,	2.300000,	1.300000,	0.000000
193,	0.470000,	1.955000,	1.055000,	0.000000
194,	0.505000,	2.050000,	1.185000,	0.000000
195,	0.535000,	2.050000,	1.090000,	0.000000
196,	0.445000,	1.820000,	0.885000,	0.000000
197,	0.445000,	1.855000,	1.085000,	0.000000
198,	0.410000,	1.660000,	0.910000,	0.000000
199,	0.405000,	1.660000,	0.945000,	0.000000
200,	0.445000,	1.625000,	0.835000,	0.000000
