Time,	LatentMB,	InfectiousMB,	InfectiousIdentifiedMB,	InfectiousUnderTreatmeanMB,	InfectiousNotCuredMB,	TotalInfectiousMB,	RecoveredLatentMB,	RelapseMB
164,	0.275000,	1.215000,	0.000000,	38.000000,	0.625000,	1.840000,	2.195000,	0.000000
165,	0.270000,	1.115000,	0.000000,	35.549999,	0.590000,	1.705000,	2.100000,	0.000000
166,	0.205000,	1.070000,	0.000000,	33.220001,	0.600000,	1.670000,	2.040000,	0.000000
167,	0.255000,	1.025000,	0.015000,	31.209999,	0.555000,	1.595000,	1.830000,	0.000000
168,	0.215000,	0.945000,	0.005000,	29.135000,	0.440000,	1.390000,	1.770000,	0.000000
169,	0.250000,	0.895000,	0.015000,	27.350000,	0.455000,	1.365000,	1.460000,	0.000000
170,	0.250000,	0.870000,	0.010000,	25.420000,	0.460000,	1.340000,	1.390000,	0.000000
171,	0.235000,	0.835000,	0.010000,	23.860001,	0.425000,	1.270000,	1.335000,	0.000000
172,	0.215000,	0.815000,	0.000000,	22.290001,	0.405000,	1.220000,	1.370000,	0.000000
173,	0.150000,	0.790000,	0.010000,	21.010000,	0.385000,	1.185000,	1.155000,	0.000000
174,	0.150000,	0.710000,	0.005000,	19.924999,	0.355000,	1.070000,	0.910000,	0.000000
175,	0.160000,	0.685000,	0.000000,	18.530001,	0.315000,	1.000000,	0.920000,	0.000000
176,	0.125000,	0.620000,	0.010000,	17.209999,	0.300000,	0.930000,	0.925000,	0.000000
177,	0.115000,	0.605000,	0.000000,	15.970000,	0.245000,	0.850000,	0.900000,	0.000000
178,	0.090000,	0.600000,	0.005000,	14.895000,	0.225000,	0.830000,	0.870000,	0.000000
179,	0.100000,	0.605000,	0.010000,	13.940000,	0.220000,	0.835000,	0.745000,	0.000000
180,	0.130000,	0.620000,	0.000000,	13.055000,	0.205000,	0.825000,	0.700000,	0.000000
181,	0.140000,	0.565000,	0.000000,	12.010000,	0.230000,	0.795000,	0.700000,	0.000000
182,	0.130000,	0.510000,	0.005000,	11.325000,	0.200000,	0.715000,	0.635000,	0.000000
183,	0.075000,	0.540000,	0.005000,	10.600000,	0.205000,	0.750000,	0.580000,	0.000000
