Time,	InfectiousM,	InfectiousIdentifiedM,	InfectiousUnderTreatmeanM,	InfectiousNotCuredM
0,	1729.234985,	44.119999,	799.885010,	9.990000
1,	0.840000,	0.000000,	0.000000,	0.000000
2,	0.740000,	0.000000,	0.000000,	0.000000
3,	0.695000,	0.000000,	0.000000,	0.000000
4,	2.015000,	0.000000,	0.000000,	0.000000
5,	2.545000,	0.000000,	0.000000,	0.000000
6,	3.060000,	0.000000,	0.000000,	0.000000
7,	3.755000,	0.000000,	0.000000,	0.000000
8,	4.450000,	0.000000,	0.000000,	0.000000
9,	5.120000,	0.000000,	0.000000,	0.000000
10,	5.725000,	0.000000,	0.000000,	0.000000
11,	6.770000,	0.000000,	0.000000,	0.000000
12,	7.650000,	0.000000,	0.000000,	0.000000
13,	8.620000,	0.000000,	0.000000,	0.000000
14,	9.535000,	0.000000,	0.000000,	0.000000
15,	10.505000,	0.000000,	0.000000,	0.000000
16,	11.750000,	0.000000,	0.000000,	0.000000
17,	12.970000,	0.000000,	0.000000,	0.000000
18,	14.045000,	0.000000,	0.000000,	0.000000
19,	15.240000,	0.000000,	0.000000,	0.000000
20,	16.850000,	0.000000,	0.000000,	0.000000
21,	18.360001,	0.000000,	0.000000,	0.000000
22,	19.920000,	0.000000,	0.000000,	0.000000
23,	21.360001,	0.000000,	0.000000,	0.000000
24,	23.150000,	0.000000,	0.000000,	0.000000
25,	24.885000,	0.000000,	0.000000,	0.000000
26,	26.635000,	0.000000,	0.000000,	0.000000
27,	28.600000,	0.000000,	0.000000,	0.000000
28,	30.600000,	0.000000,	0.000000,	0.000000
29,	32.325001,	0.000000,	0.000000,	0.000000
30,	34.650002,	0.000000,	0.000000,	0.000000
31,	37.389999,	0.000000,	0.000000,	0.000000
32,	39.369999,	0.000000,	0.000000,	0.000000
33,	42.134998,	0.000000,	0.000000,	0.000000
34,	44.715000,	0.000000,	0.000000,	0.000000
35,	47.360001,	0.000000,	0.000000,	0.000000
36,	50.134998,	0.000000,	0.000000,	0.000000
37,	52.369999,	0.000000,	0.000000,	0.000000
38,	54.799999,	0.000000,	0.000000,	0.000000
39,	58.314999,	0.000000,	0.000000,	0.000000
40,	61.564999,	0.000000,	0.000000,	0.000000
41,	64.955002,	0.000000,	0.000000,	0.000000
42,	67.989998,	0.000000,	0.000000,	0.000000
43,	71.294998,	0.000000,	0.000000,	0.000000
44,	74.724998,	0.000000,	0.000000,	0.000000
45,	78.339996,	0.000000,	0.000000,	0.000000
46,	82.375000,	0.000000,	0.000000,	0.000000
47,	85.599998,	0.000000,	0.000000,	0.000000
48,	89.510002,	0.000000,	0.000000,	0.000000
49,	94.040001,	0.000000,	0.000000,	0.000000
50,	98.230003,	0.000000,	0.000000,	0.000000
51,	102.275002,	0.000000,	0.000000,	0.000000
52,	106.605003,	0.000000,	0.000000,	0.000000
53,	110.985001,	0.000000,	0.000000,	0.000000
54,	116.989998,	0.000000,	0.000000,	0.000000
55,	121.790001,	0.000000,	0.000000,	0.000000
56,	127.144997,	0.000000,	0.000000,	0.000000
57,	132.005005,	0.000000,	0.000000,	0.000000
58,	137.524994,	0.000000,	0.000000,	0.000000
59,	144.000000,	0.000000,	0.000000,	0.000000
60,	149.559998,	0.000000,	0.000000,	0.000000
61,	155.089996,	0.000000,	0.000000,	0.000000
62,	159.755005,	0.000000,	0.000000,	0.000000
63,	166.574997,	0.000000,	0.000000,	0.000000
64,	172.815002,	0.000000,	0.000000,	0.000000
65,	178.889999,	0.000000,	0.000000,	0.000000
66,	184.845001,	0.000000,	0.000000,	0.000000
67,	190.880005,	0.000000,	0.000000,	0.000000
68,	197.729996,	0.000000,	0.000000,	0.000000
69,	204.169998,	0.000000,	0.000000,	0.000000
70,	211.134995,	0.000000,	0.000000,	0.000000
71,	220.304993,	0.000000,	0.000000,	0.000000
72,	227.695007,	0.000000,	0.000000,	0.000000
73,	235.360001,	0.000000,	0.000000,	0.000000
74,	242.975006,	0.000000,	0.000000,	0.000000
75,	250.375000,	0.000000,	0.000000,	0.000000
76,	258.679993,	0.000000,	0.000000,	0.000000
77,	267.220001,	0.000000,	0.000000,	0.000000
78,	277.015015,	0.000000,	0.000000,	0.000000
79,	285.334991,	0.000000,	0.000000,	0.000000
80,	294.644989,	0.000000,	0.000000,	0.000000
81,	304.040009,	0.000000,	0.000000,	0.000000
82,	313.524994,	0.000000,	0.000000,	0.000000
83,	323.570007,	0.000000,	0.000000,	0.000000
84,	333.809998,	0.000000,	0.000000,	0.000000
85,	344.545013,	0.000000,	0.000000,	0.000000
86,	355.415009,	0.000000,	0.000000,	0.000000
87,	368.040009,	0.000000,	0.000000,	0.000000
88,	379.440002,	0.000000,	0.000000,	0.000000
89,	390.704987,	0.000000,	0.000000,	0.000000
90,	400.825012,	0.000000,	0.000000,	0.000000
91,	411.434998,	0.000000,	0.000000,	0.000000
92,	425.524994,	0.000000,	0.000000,	0.000000
93,	438.424988,	0.000000,	0.000000,	0.000000
94,	451.195007,	0.000000,	0.000000,	0.000000
95,	464.790009,	0.000000,	0.000000,	0.000000
96,	479.984985,	0.000000,	0.000000,	0.000000
97,	493.524994,	0.000000,	0.000000,	0.000000
98,	507.505005,	0.000000,	0.000000,	0.000000
99,	522.510010,	0.000000,	0.000000,	0.000000
100,	538.054993,	0.000000,	0.000000,	0.000000
101,	530.590027,	11.725000,	11.910000,	0.000000
102,	524.469971,	10.835000,	34.639999,	0.000000
103,	520.364990,	11.200000,	55.355000,	0.000000
104,	515.909973,	11.385000,	75.709999,	0.000000
105,	510.679993,	11.335000,	95.400002,	0.000000
106,	506.595001,	11.370000,	114.239998,	0.000000
107,	502.964996,	10.925000,	132.384995,	0.000000
108,	498.904999,	11.310000,	149.785004,	0.000000
109,	497.450012,	11.340000,	165.880005,	0.000000
110,	494.700012,	10.910000,	181.580002,	0.000000
111,	491.679993,	11.055000,	195.839996,	0.000000
112,	489.815002,	10.905000,	209.875000,	0.000000
113,	489.065002,	11.485000,	216.470001,	0.235000
114,	492.214996,	11.935000,	217.059998,	0.810000
115,	497.825012,	12.705000,	219.679993,	1.285000
116,	504.934998,	12.775000,	222.119995,	1.625000
117,	512.145020,	13.040000,	225.110001,	1.970000
118,	517.549988,	13.585000,	227.494995,	2.255000
119,	524.244995,	13.425000,	231.460007,	2.525000
120,	530.599976,	13.575000,	235.324997,	2.575000
121,	537.059998,	14.045000,	239.490005,	2.625000
122,	542.619995,	13.890000,	244.279999,	2.725000
123,	548.505005,	14.030000,	248.220001,	2.760000
124,	555.924988,	14.045000,	253.205002,	2.965000
125,	562.794983,	14.315000,	257.975006,	2.920000
126,	571.880005,	14.580000,	261.809998,	3.030000
127,	579.719971,	15.245000,	266.220001,	3.025000
128,	587.244995,	15.230000,	270.484985,	3.095000
129,	595.659973,	15.760000,	274.105011,	3.285000
130,	604.215027,	15.740000,	279.059998,	3.360000
131,	613.260010,	15.460000,	283.880005,	3.450000
132,	623.140015,	16.025000,	287.635010,	3.510000
133,	632.719971,	16.309999,	291.399994,	3.610000
134,	643.135010,	16.805000,	295.505005,	3.665000
135,	652.145020,	16.674999,	300.869995,	3.625000
136,	660.335022,	17.545000,	305.059998,	3.635000
137,	672.270020,	17.430000,	310.140015,	3.695000
138,	683.614990,	17.855000,	314.570007,	3.715000
139,	694.895020,	17.740000,	319.730011,	3.890000
140,	705.950012,	18.480000,	324.434998,	4.115000
141,	716.244995,	18.389999,	329.554993,	4.175000
142,	728.784973,	19.205000,	333.750000,	4.245000
143,	739.234985,	19.105000,	338.984985,	4.315000
144,	749.590027,	19.375000,	345.005005,	4.440000
145,	761.419983,	20.285000,	350.614990,	4.305000
146,	774.789978,	19.879999,	356.320007,	4.465000
147,	786.544983,	20.629999,	361.459991,	4.405000
148,	799.020020,	20.385000,	366.885010,	4.440000
149,	809.700012,	20.934999,	372.260010,	4.605000
150,	823.049988,	21.410000,	378.144989,	4.630000
151,	832.405029,	21.165001,	384.179993,	4.690000
152,	844.405029,	22.285000,	389.174988,	4.735000
153,	858.789978,	22.770000,	396.100006,	4.820000
154,	872.775024,	22.990000,	403.265015,	4.950000
155,	887.395020,	23.040001,	409.940002,	4.995000
156,	902.565002,	24.315001,	416.404999,	4.970000
157,	914.260010,	24.520000,	424.700012,	5.200000
158,	925.219971,	24.195000,	431.500000,	5.240000
159,	940.794983,	24.615000,	437.690002,	5.370000
160,	953.945007,	24.745001,	444.570007,	5.320000
161,	969.429993,	25.775000,	450.904999,	5.345000
162,	987.580017,	26.065001,	459.105011,	5.390000
163,	1002.484985,	26.690001,	466.230011,	5.495000
164,	1019.390015,	27.195000,	473.984985,	5.595000
165,	1034.859985,	26.975000,	481.114990,	5.745000
166,	1052.775024,	27.504999,	487.380005,	5.975000
167,	1069.895020,	28.094999,	493.964996,	6.225000
168,	1086.089966,	27.965000,	501.285004,	6.115000
169,	1103.219971,	28.910000,	507.529999,	6.220000
170,	1118.665039,	29.525000,	516.085022,	6.260000
171,	1136.170044,	29.830000,	523.460022,	6.450000
172,	1154.375000,	30.770000,	532.739990,	6.585000
173,	1170.244995,	30.730000,	542.155029,	6.735000
174,	1184.795044,	31.514999,	550.825012,	6.965000
175,	1203.660034,	31.665001,	559.820007,	7.065000
176,	1221.665039,	31.855000,	568.695007,	7.245000
177,	1237.989990,	32.959999,	577.619995,	7.315000
178,	1257.790039,	32.195000,	587.114990,	7.510000
179,	1276.505005,	33.075001,	594.965027,	7.555000
180,	1296.619995,	33.730000,	603.844971,	7.590000
181,	1316.464966,	35.205002,	613.020020,	7.640000
182,	1334.979980,	35.334999,	623.174988,	7.805000
183,	1356.770020,	35.965000,	632.145020,	7.865000
184,	1379.864990,	35.785000,	641.174988,	7.965000
185,	1399.810059,	37.000000,	650.650024,	7.975000
186,	1420.474976,	37.459999,	660.219971,	7.950000
187,	1442.915039,	37.055000,	670.445007,	8.120000
188,	1463.359985,	38.154999,	678.960022,	8.365000
189,	1483.219971,	38.584999,	689.520020,	8.485000
190,	1506.310059,	39.459999,	699.479980,	8.905000
191,	1527.805054,	40.105000,	709.655029,	9.030000
192,	1554.579956,	41.005001,	720.280029,	8.945000
193,	1579.439941,	41.250000,	731.280029,	9.005000
194,	1603.295044,	41.549999,	741.825012,	9.140000
195,	1627.714966,	43.419998,	751.580017,	9.215000
196,	1648.114990,	43.305000,	762.590027,	9.250000
197,	1674.344971,	43.955002,	773.390015,	9.425000
198,	1698.630005,	43.845001,	785.030029,	9.680000
199,	1725.314941,	45.049999,	797.000000,	9.995000
200,	1749.314941,	44.615002,	809.195007,	10.130000
