Time,	LatentP,	TotalInfectiousP,	RecoveredP,	RelapseP
120,	12.530000,	178.350006,	132.660004,	0.000000
121,	11.800000,	162.035004,	118.385002,	0.000000
122,	11.010000,	146.160004,	103.684998,	0.000000
123,	9.530000,	130.184998,	90.285004,	0.000000
124,	8.860000,	114.110001,	78.559998,	0.000000
125,	7.680000,	100.995003,	67.495003,	0.000000
126,	6.795000,	89.250000,	57.680000,	0.000000
127,	6.100000,	77.965004,	52.799999,	0.000000
128,	5.370000,	70.764999,	52.705002,	0.000000
129,	4.830000,	66.324997,	56.290001,	0.000000
130,	4.555000,	64.504997,	61.505001,	0.000000
131,	4.325000,	63.514999,	67.254997,	0.000000
132,	4.390000,	63.645000,	70.730003,	0.000000
133,	4.350000,	63.700001,	70.945000,	0.000000
134,	4.455000,	62.790001,	69.355003,	0.000000
135,	4.390000,	61.344997,	66.644997,	0.000000
136,	4.180000,	58.315002,	61.435001,	0.000000
137,	3.760000,	54.000000,	55.724998,	0.000000
138,	3.590000,	49.940002,	50.705002,	0.000000
139,	3.585000,	45.619999,	44.480000,	0.000000
140,	3.120000,	41.584999,	39.064999,	0.000000
141,	2.945000,	37.235001,	34.855000,	0.000000
142,	2.610000,	33.549999,	31.840000,	0.000000
143,	2.430000,	30.590000,	29.680000,	0.000000
144,	2.075000,	28.275000,	28.969999,	0.000000
145,	2.005000,	26.865000,	28.264999,	0.000000
146,	1.925000,	25.750000,	28.075001,	0.000000
147,	1.890000,	24.789999,	27.815001,	0.000000
148,	1.690000,	24.285000,	27.684999,	0.000000
149,	1.715000,	23.295000,	26.855000,	0.000000
150,	1.540000,	22.169998,	25.315001,	0.000000
151,	1.540000,	21.280001,	23.825001,	0.000000
152,	1.240000,	20.234999,	22.290001,	0.000000
153,	1.265000,	18.085001,	20.895000,	0.000000
154,	1.190000,	17.115000,	19.205000,	0.000000
155,	1.175000,	16.180000,	17.240000,	0.000000
156,	1.125000,	14.830000,	15.670000,	0.000000
157,	1.095000,	13.655001,	13.945000,	0.000000
158,	1.035000,	12.379999,	12.885000,	0.000000
159,	0.875000,	11.535000,	11.890000,	0.000000
160,	0.735000,	11.050000,	10.955000,	0.000000
161,	0.735000,	10.465000,	10.560000,	0.000000
162,	0.755000,	9.775000,	10.475000,	0.000000
163,	0.695000,	9.550000,	10.145000,	0.000000
164,	0.695000,	9.115000,	9.890000,	0.000000
165,	0.695000,	8.880001,	9.245000,	0.000000
166,	0.595000,	8.500000,	8.860000,	0.000000
167,	0.525000,	7.850000,	8.220000,	0.000000
168,	0.485000,	7.465000,	7.250000,	0.000000
169,	0.455000,	7.110001,	6.720000,	0.000000
170,	0.430000,	6.435000,	6.295000,	0.000000
171,	0.390000,	6.015000,	5.585000,	0.000000
172,	0.400000,	5.565000,	5.150000,	0.000000
173,	0.360000,	5.295000,	4.970000,	0.000000
174,	0.350000,	4.850000,	4.535000,	0.000000
175,	0.365000,	4.605000,	4.285000,	0.000000
176,	0.345000,	4.435000,	4.100000,	0.000000
177,	0.400000,	4.355000,	3.825000,	0.000000
178,	0.325000,	4.455000,	3.430000,	0.000000
179,	0.310000,	4.095000,	3.325000,	0.000000
180,	0.280000,	3.965000,	3.170000,	0.000000
181,	0.195000,	3.895000,	2.910000,	0.000000
182,	0.245000,	3.585000,	2.840000,	0.000000
183,	0.225000,	3.395000,	2.705000,	0.000000
184,	0.190000,	3.490000,	2.495000,	0.000000
185,	0.215000,	3.360000,	2.225000,	0.000000
186,	0.225000,	3.160000,	2.155000,	0.000000
187,	0.195000,	3.075000,	1.960000,	0.000000
188,	0.175000,	3.075000,	1.725000,	0.000000
189,	0.180000,	2.850000,	1.625000,	0.000000
190,	0.170000,	2.770000,	1.515000,	0.000000
191,	0.200000,	2.440000,	1.685000,	0.000000
192,	0.190000,	2.510000,	1.650000,	0.000000
193,	0.180000,	2.575000,	1.490000,	0.000000
194,	0.120000,	2.460000,	1.430000,	0.000000
195,	0.140000,	2.335000,	1.365000,	0.000000
196,	0.140000,	2.330000,	1.230000,	0.000000
197,	0.175000,	2.280000,	1.105000,	0.000000
198,	0.170000,	2.185000,	1.150000,	0.000000
199,	0.145000,	2.190000,	1.105000,	0.000000
200,	0.145000,	2.190000,	0.965000,	0.000000
