Time,	LatentTotal,	TotalInfectiousTotal,	RecoveredTotal,	RelapseTotal
119,	36.869999,	356.994995,	177.429993,	0.000000
120,	35.369999,	329.605011,	160.200012,	0.000000
121,	32.525002,	299.230011,	143.145004,	0.000000
122,	30.240000,	269.425003,	124.459999,	0.000000
123,	26.520000,	240.754997,	107.639999,	0.000000
124,	24.059999,	212.684998,	93.754997,	0.000000
125,	20.844999,	188.490005,	80.975006,	0.000000
126,	18.545000,	168.400002,	70.595001,	0.000000
127,	16.785000,	151.434998,	67.165001,	0.000000
128,	15.330000,	142.844994,	70.495003,	0.000000
129,	14.160000,	141.064995,	77.875000,	0.000000
130,	14.619999,	144.239998,	85.209999,	0.000000
131,	14.870000,	146.559998,	91.830002,	0.000000
132,	15.150000,	146.869999,	94.310005,	0.000000
133,	15.110001,	147.264996,	92.820000,	0.000000
134,	15.260000,	143.295006,	89.764999,	0.000000
135,	15.059999,	137.039997,	85.079994,	0.000000
136,	14.455000,	129.485008,	77.430000,	0.000000
137,	13.560000,	119.004997,	69.989998,	0.000000
138,	12.700000,	109.640003,	62.510002,	0.000000
139,	11.925000,	100.209999,	55.165001,	0.000000
140,	10.520000,	91.110001,	49.480000,	0.000000
141,	9.670000,	82.820000,	45.485001,	0.000000
142,	8.665000,	77.020000,	43.044998,	0.000000
143,	8.475000,	73.955002,	41.635002,	0.000000
144,	8.140000,	72.549997,	42.180000,	0.000000
145,	8.205000,	72.030001,	41.334999,	0.000000
146,	7.970000,	71.279999,	41.170002,	0.000000
147,	7.900000,	70.374998,	40.740002,	0.000000
148,	7.655000,	68.750000,	39.985001,	0.000000
149,	7.710000,	66.475000,	38.345001,	0.000000
150,	7.395000,	64.249996,	35.815002,	0.000000
151,	7.420000,	60.400000,	33.355000,	0.000000
152,	6.720000,	56.909998,	31.040001,	0.000000
153,	6.490000,	52.434999,	28.565001,	0.000000
154,	6.215000,	49.260000,	26.389999,	0.000000
155,	5.840000,	46.164999,	23.869999,	0.000000
156,	5.470000,	42.855000,	22.330000,	0.000000
157,	5.180000,	41.105000,	20.635000,	0.000000
158,	4.925000,	39.534998,	19.605000,	0.000000
159,	4.775000,	37.855000,	19.295000,	0.000000
160,	4.325000,	37.499999,	17.994999,	0.000000
161,	4.195000,	36.055000,	17.815001,	0.000000
162,	4.105000,	35.254999,	17.380001,	0.000000
163,	4.140000,	34.860000,	16.900002,	0.000000
164,	4.245000,	33.825001,	16.690001,	0.000000
165,	4.185000,	32.955002,	15.514999,	0.000000
166,	3.815000,	31.549999,	14.520000,	0.000000
167,	3.565000,	29.700000,	13.560000,	0.000000
168,	3.470000,	28.079999,	12.130000,	0.000000
169,	3.210000,	26.959999,	11.264999,	0.000000
170,	3.025000,	24.904999,	11.055000,	0.000000
171,	2.945000,	23.954998,	10.075000,	0.000000
172,	2.890000,	22.514999,	9.250000,	0.000000
173,	2.850000,	21.754999,	9.174999,	0.000000
174,	2.505000,	21.165000,	8.505000,	0.000000
175,	2.555000,	20.394999,	8.389999,	0.000000
176,	2.525000,	19.905001,	7.960000,	0.000000
177,	2.670000,	19.545000,	7.550000,	0.000000
178,	2.475000,	19.300002,	7.075000,	0.000000
179,	2.400000,	18.305001,	6.865000,	0.000000
180,	2.240000,	17.915000,	6.445000,	0.000000
181,	2.030000,	17.015000,	6.095000,	0.000000
182,	2.025000,	15.865001,	5.785000,	0.000000
183,	1.990000,	15.170000,	5.875000,	0.000000
184,	1.755000,	14.860000,	5.540000,	0.000000
185,	1.785000,	14.274999,	4.965000,	0.000000
186,	1.820000,	13.510000,	4.790000,	0.000000
187,	1.745000,	13.345001,	4.305000,	0.000000
188,	1.545000,	13.049999,	4.270000,	0.000000
189,	1.510000,	12.650000,	4.055000,	0.000000
190,	1.320000,	12.395000,	3.955000,	0.000000
191,	1.360000,	11.725000,	3.775000,	0.000000
192,	1.285000,	11.519999,	3.830000,	0.000000
193,	1.310000,	11.330000,	3.540000,	0.000000
194,	1.310000,	10.810000,	3.530000,	0.000000
195,	1.325000,	10.265000,	3.460000,	0.000000
196,	1.325000,	10.495000,	3.090000,	0.000000
197,	1.315000,	10.195000,	3.070000,	0.000000
198,	1.190000,	10.010000,	2.960000,	0.000000
199,	1.175000,	9.500000,	2.780000,	0.000000
200,	1.180000,	8.920000,	2.540000,	0.000000
