Time,	NewLatentPB,	NewInfectiousPB,	NewInfectiousIdentifiedPB,	NewInfectiousUnderTreatmeanPB,	NewInfectiousNotCuredPB,	NewRecoveredLatentPB,	NewRelapsePB
287,	0.210000,	0.180000,	0.310000,	0.515000,	0.005000,	0.155000,	0.000000
288,	0.155000,	0.150000,	0.305000,	0.535000,	0.010000,	0.190000,	0.000000
289,	0.140000,	0.150000,	0.285000,	0.480000,	0.005000,	0.115000,	0.000000
290,	0.115000,	0.140000,	0.275000,	0.505000,	0.000000,	0.160000,	0.000000
291,	0.140000,	0.135000,	0.220000,	0.345000,	0.000000,	0.100000,	0.000000
292,	0.115000,	0.080000,	0.185000,	0.370000,	0.005000,	0.125000,	0.000000
293,	0.190000,	0.165000,	0.290000,	0.440000,	0.000000,	0.135000,	0.000000
294,	0.165000,	0.160000,	0.260000,	0.465000,	0.000000,	0.130000,	0.000000
295,	0.125000,	0.130000,	0.245000,	0.465000,	0.000000,	0.105000,	0.000000
296,	0.125000,	0.125000,	0.200000,	0.370000,	0.000000,	0.140000,	0.000000
297,	0.140000,	0.150000,	0.225000,	0.330000,	0.005000,	0.165000,	0.000000
298,	0.175000,	0.175000,	0.300000,	0.500000,	0.000000,	0.085000,	0.000000
299,	0.145000,	0.145000,	0.235000,	0.420000,	0.000000,	0.140000,	0.000000
300,	0.140000,	0.115000,	0.240000,	0.455000,	0.000000,	0.175000,	0.000000
