Time,	LatentTotal,	TotalInfectiousTotal,	RecoveredTotal,	RelapseTotal
120,	66.690002,	514.785004,	72.450005,	0.000000
121,	65.865005,	503.104996,	70.559998,	0.000000
122,	64.919998,	490.805008,	65.934998,	0.000000
123,	63.084999,	477.830017,	62.314999,	0.000000
124,	62.775002,	464.045013,	58.490002,	0.000000
125,	60.575001,	452.599991,	58.320000,	0.000000
126,	59.389999,	443.539993,	59.740002,	0.000000
127,	57.945000,	435.445007,	60.940002,	0.000000
128,	56.650002,	429.459991,	61.225002,	0.000000
129,	56.825001,	422.914993,	61.625000,	0.000000
130,	55.970001,	418.224991,	61.139999,	0.000000
131,	56.160000,	412.699997,	60.075001,	0.000000
132,	55.555000,	407.155014,	58.700001,	0.000000
133,	54.850002,	399.889984,	57.180000,	0.000000
134,	54.185001,	394.955002,	55.474998,	0.000000
135,	53.845001,	389.665009,	54.549999,	0.000000
136,	53.590000,	383.929993,	51.755001,	0.000000
137,	52.915001,	378.305008,	50.450001,	0.000000
138,	52.049999,	373.655014,	49.180000,	0.000000
139,	52.370003,	368.449997,	49.220001,	0.000000
140,	51.919998,	364.520004,	48.360001,	0.000000
141,	50.805000,	360.899994,	46.834999,	0.000000
142,	49.240002,	357.254990,	45.750000,	0.000000
143,	49.065002,	353.010010,	44.690002,	0.000000
144,	48.855000,	348.174995,	44.705002,	0.000000
145,	48.895000,	344.235001,	43.424999,	0.000000
146,	48.840000,	341.480011,	42.584999,	0.000000
147,	49.655003,	338.970009,	41.230000,	0.000000
148,	48.665001,	336.290009,	41.095001,	0.000000
149,	48.214996,	332.809990,	40.559998,	0.000000
150,	48.584999,	328.215012,	39.745003,	0.000000
151,	47.619999,	326.075012,	38.875000,	0.000000
152,	47.199997,	322.404999,	38.395000,	0.000000
153,	46.889999,	318.255013,	37.145000,	0.000000
154,	45.584999,	315.544998,	36.595001,	0.000000
155,	46.544998,	312.070000,	35.579998,	0.000000
156,	46.485001,	310.634995,	36.135002,	0.000000
157,	46.760002,	308.519997,	34.425003,	0.000000
158,	45.110001,	305.654999,	33.869999,	0.000000
159,	44.420002,	303.754997,	33.275002,	0.000000
160,	45.334999,	301.344994,	33.294998,	0.000000
161,	45.610001,	300.160004,	33.080002,	0.000000
162,	44.969997,	299.009987,	32.330002,	0.000000
163,	44.264999,	297.650002,	31.850000,	0.000000
164,	44.680000,	295.809998,	31.065001,	0.000000
165,	44.120003,	293.665001,	30.845001,	0.000000
166,	44.260002,	292.084999,	30.195000,	0.000000
167,	44.680000,	289.865013,	29.920000,	0.000000
168,	44.799999,	288.094990,	29.455000,	0.000000
169,	44.745003,	287.590000,	29.154999,	0.000000
170,	44.200001,	286.655003,	28.474998,	0.000000
171,	43.744999,	285.599987,	28.575001,	0.000000
172,	44.099998,	285.325005,	27.715000,	0.000000
173,	43.954998,	283.589996,	26.994999,	0.000000
174,	44.379997,	282.799995,	27.350000,	0.000000
175,	43.684998,	282.179993,	26.975000,	0.000000
176,	44.445000,	282.100002,	26.290001,	0.000000
177,	44.125000,	280.180004,	26.330000,	0.000000
178,	44.079998,	280.355000,	25.375000,	0.000000
179,	44.114998,	278.605003,	25.435001,	0.000000
180,	44.019997,	277.809994,	24.820000,	0.000000
181,	43.584999,	277.974998,	24.705000,	0.000000
182,	43.519997,	277.809990,	24.970001,	0.000000
183,	43.674999,	277.104992,	24.740000,	0.000000
184,	44.660000,	276.135002,	24.299999,	0.000000
185,	44.480000,	274.905006,	24.165001,	0.000000
186,	44.404999,	274.185005,	23.920000,	0.000000
187,	43.685001,	275.320004,	23.305000,	0.000000
188,	43.595001,	274.494984,	23.110001,	0.000000
189,	43.899998,	274.160004,	23.639999,	0.000000
190,	43.830002,	274.629999,	23.325001,	0.000000
191,	44.349998,	273.809996,	22.850000,	0.000000
192,	44.524998,	272.735006,	22.025002,	0.000000
193,	44.794998,	272.390013,	22.695000,	0.000000
194,	44.379997,	273.129997,	22.084999,	0.000000
195,	44.239998,	272.395010,	22.055000,	0.000000
196,	43.810001,	273.235001,	22.539999,	0.000000
197,	44.035000,	271.205000,	22.385000,	0.000000
198,	43.599998,	271.220001,	21.965000,	0.000000
199,	43.684998,	271.274988,	22.049999,	0.000000
200,	43.974998,	270.775005,	21.584999,	0.000000
