Time,	LatentPB,	InfectiousPB,	InfectiousIdentifiedPB,	InfectiousUnderTreatmeanPB,	InfectiousNotCuredPB,	TotalInfectiousPB,	RecoveredLatentPB,	RelapsePB
122,	18.120001,	200.970001,	35.549999,	235.869995,	2.580000,	239.100006,	44.930000,	0.000000
123,	17.320000,	191.330002,	33.500000,	230.169998,	2.550000,	227.380005,	43.009998,	0.000000
124,	16.360001,	181.729996,	31.230000,	224.380005,	2.350000,	215.309998,	40.369999,	0.000000
125,	15.830000,	172.210007,	30.070000,	218.149994,	2.270000,	204.550003,	37.299999,	0.000000
126,	14.300000,	163.789993,	28.030001,	212.729996,	2.160000,	193.979996,	34.040001,	0.000000
127,	13.160000,	154.789993,	26.260000,	207.160004,	2.090000,	183.139984,	32.130001,	0.000000
128,	12.440000,	147.470001,	25.680000,	200.220001,	1.960000,	175.110001,	30.440001,	0.000000
129,	12.740000,	139.179993,	23.730000,	193.279999,	2.000000,	164.909988,	29.410000,	0.000000
130,	12.230000,	131.339996,	22.600000,	185.130005,	1.930000,	155.869995,	29.370001,	0.000000
131,	11.150000,	124.620003,	22.129999,	176.020004,	1.790000,	148.539993,	30.100000,	0.000000
132,	10.670000,	119.360001,	21.260000,	166.649994,	1.670000,	142.289993,	30.080000,	0.000000
133,	9.740000,	113.900002,	20.100000,	158.830002,	1.740000,	135.740005,	30.180000,	0.000000
134,	10.020000,	108.680000,	18.930000,	150.589996,	1.810000,	129.419998,	29.620001,	0.000000
135,	9.250000,	105.230003,	18.730000,	142.389999,	1.800000,	125.760010,	28.520000,	0.000000
136,	8.980000,	100.300003,	18.200001,	136.139999,	1.650000,	120.150002,	27.030001,	0.000000
137,	8.620000,	95.540001,	17.200001,	130.220001,	1.560000,	114.300003,	25.260000,	0.000000
138,	8.660000,	90.389999,	15.620000,	124.309998,	1.620000,	107.630005,	24.480000,	0.000000
139,	7.500000,	86.559998,	15.750000,	118.199997,	1.490000,	103.799995,	23.510000,	0.000000
140,	7.480000,	82.330002,	14.730000,	112.980003,	1.300000,	98.360001,	22.160000,	0.000000
141,	6.970000,	78.180000,	14.070000,	107.629997,	1.130000,	93.379997,	20.540001,	0.000000
142,	6.800000,	73.970001,	13.200000,	102.750000,	1.090000,	88.259995,	19.520000,	0.000000
143,	6.380000,	70.629997,	12.680000,	98.790001,	1.010000,	84.320000,	17.959999,	0.000000
144,	6.110000,	66.099998,	11.440000,	94.690002,	0.960000,	78.500000,	16.680000,	0.000000
145,	5.790000,	62.660000,	11.400000,	89.739998,	0.930000,	74.989998,	16.139999,	0.000000
146,	5.420000,	59.700001,	10.960000,	85.040001,	0.960000,	71.620003,	15.730000,	0.000000
147,	5.200000,	56.610001,	10.330000,	81.209999,	0.960000,	67.900002,	14.900000,	0.000000
148,	4.860000,	54.220001,	9.300000,	77.339996,	0.910000,	64.430000,	14.300000,	0.000000
149,	4.500000,	52.230000,	8.970000,	73.430000,	0.910000,	62.110001,	13.660000,	0.000000
150,	4.420000,	49.130001,	8.850000,	69.839996,	0.920000,	58.900002,	13.300000,	0.000000
151,	4.270000,	46.450001,	8.330000,	66.070000,	0.850000,	55.629997,	12.720000,	0.000000
152,	3.880000,	44.180000,	7.990000,	63.110001,	0.740000,	52.910000,	11.960000,	0.000000
153,	3.740000,	41.820000,	7.720000,	60.230000,	0.770000,	50.310001,	11.300000,	0.000000
154,	3.750000,	39.860001,	7.330000,	57.230000,	0.680000,	47.870003,	10.770000,	0.000000
155,	3.530000,	37.950001,	6.850000,	54.549999,	0.610000,	45.410000,	10.090000,	0.000000
156,	3.280000,	35.750000,	6.410000,	52.150002,	0.560000,	42.720001,	9.570000,	0.000000
157,	2.840000,	34.779999,	6.240000,	49.759998,	0.540000,	41.559998,	9.100000,	0.000000
158,	2.600000,	33.680000,	6.070000,	47.990002,	0.520000,	40.270000,	8.280000,	0.000000
159,	2.240000,	31.540001,	5.900000,	45.570000,	0.510000,	37.950001,	8.190000,	0.000000
160,	2.340000,	30.430000,	5.190000,	43.480000,	0.500000,	36.119999,	7.880000,	0.000000
161,	2.320000,	28.580000,	4.590000,	41.360001,	0.460000,	33.629997,	7.440000,	0.000000
162,	2.450000,	26.840000,	4.150000,	39.250000,	0.450000,	31.440001,	7.220000,	0.000000
163,	2.130000,	25.139999,	4.380000,	37.349998,	0.420000,	29.940001,	6.840000,	0.000000
164,	1.910000,	24.129999,	4.390000,	34.759998,	0.400000,	28.919998,	6.780000,	0.000000
165,	1.890000,	23.330000,	3.940000,	32.439999,	0.430000,	27.700001,	6.810000,	0.000000
166,	1.580000,	22.209999,	3.850000,	30.930000,	0.460000,	26.519999,	6.330000,	0.000000
167,	1.760000,	21.309999,	3.760000,	29.160000,	0.380000,	25.449999,	5.980000,	0.000000
168,	1.770000,	20.629999,	3.470000,	27.690001,	0.340000,	24.439999,	5.890000,	0.000000
169,	1.670000,	20.000000,	3.630000,	25.750000,	0.330000,	23.960001,	5.410000,	0.000000
170,	1.520000,	19.250000,	3.400000,	24.360001,	0.300000,	22.949999,	5.200000,	0.000000
171,	1.520000,	18.379999,	2.870000,	23.549999,	0.240000,	21.490000,	4.720000,	0.000000
172,	1.660000,	17.790001,	2.670000,	22.520000,	0.220000,	20.680000,	4.270000,	0.000000
173,	1.530000,	16.809999,	2.870000,	21.209999,	0.230000,	19.910000,	4.290000,	0.000000
174,	1.320000,	16.250000,	3.040000,	20.510000,	0.190000,	19.480001,	3.770000,	0.000000
175,	1.260000,	15.620000,	2.980000,	19.440001,	0.190000,	18.790001,	3.470000,	0.000000
176,	1.240000,	14.680000,	2.640000,	18.889999,	0.190000,	17.510000,	3.100000,	0.000000
177,	1.160000,	13.840000,	2.450000,	18.129999,	0.190000,	16.480001,	3.270000,	0.000000
178,	1.210000,	13.240000,	2.190000,	17.350000,	0.220000,	15.650001,	3.080000,	0.000000
179,	1.090000,	12.470000,	2.180000,	16.610001,	0.230000,	14.880000,	2.900000,	0.000000
180,	1.100000,	12.080000,	2.220000,	15.960000,	0.250000,	14.550000,	2.750000,	0.000000
181,	1.080000,	11.660000,	2.030000,	15.510000,	0.200000,	13.889999,	2.520000,	0.000000
182,	0.950000,	11.040000,	2.140000,	14.660000,	0.180000,	13.360001,	2.470000,	0.000000
183,	0.980000,	10.260000,	1.880000,	14.070000,	0.170000,	12.310000,	2.580000,	0.000000
184,	1.040000,	10.100000,	1.820000,	13.420000,	0.150000,	12.070000,	2.490000,	0.000000
185,	0.970000,	9.790000,	1.780000,	13.030000,	0.120000,	11.690000,	2.050000,	0.000000
186,	0.840000,	9.150000,	1.770000,	12.290000,	0.080000,	11.000000,	2.150000,	0.000000
187,	0.670000,	8.930000,	1.550000,	11.830000,	0.060000,	10.540001,	1.960000,	0.000000
188,	0.730000,	8.730000,	1.500000,	11.220000,	0.060000,	10.290000,	1.890000,	0.000000
189,	0.690000,	8.450000,	1.280000,	10.620000,	0.090000,	9.820000,	1.960000,	0.000000
190,	0.670000,	8.230000,	1.190000,	10.100000,	0.080000,	9.500000,	1.820000,	0.000000
191,	0.560000,	7.780000,	1.190000,	9.720000,	0.060000,	9.030001,	1.630000,	0.000000
192,	0.620000,	7.560000,	1.160000,	9.200000,	0.090000,	8.810000,	1.550000,	0.000000
193,	0.640000,	7.320000,	1.180000,	8.740000,	0.070000,	8.570000,	1.630000,	0.000000
194,	0.550000,	7.080000,	1.170000,	8.610000,	0.080000,	8.330000,	1.370000,	0.000000
195,	0.550000,	6.800000,	1.090000,	8.180000,	0.070000,	7.960001,	1.340000,	0.000000
196,	0.580000,	6.630000,	1.010000,	7.910000,	0.060000,	7.700000,	1.320000,	0.000000
197,	0.560000,	6.300000,	0.880000,	7.570000,	0.040000,	7.220000,	1.360000,	0.000000
198,	0.590000,	5.890000,	0.910000,	7.240000,	0.030000,	6.830000,	1.280000,	0.000000
199,	0.550000,	5.990000,	1.070000,	6.830000,	0.030000,	7.090000,	1.110000,	0.000000
200,	0.550000,	5.540000,	0.960000,	6.750000,	0.030000,	6.530000,	0.990000,	0.000000
