Time,	NewLatent,	NewInfectious,	NewInfectiousIdentified,	NewInfectiousUnderTreatmean,	NewInfectiousNotCured,	NewRecoveredLatent,	NewRelapse
70,	165.764999,	158.130005,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
71,	166.029999,	160.885010,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
72,	169.514999,	162.600006,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
73,	172.350006,	165.924988,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
74,	175.294998,	167.899994,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
75,	177.190002,	168.535004,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
76,	179.785004,	172.110001,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
77,	182.164993,	175.365005,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
78,	186.440002,	178.699997,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
79,	188.165009,	181.259995,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
80,	190.795013,	181.785004,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
81,	192.275009,	183.619995,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
82,	195.830002,	188.050003,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
83,	200.360016,	191.364990,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
84,	201.830017,	192.489990,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
85,	205.964996,	196.615005,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
86,	207.535004,	199.065002,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
87,	210.165009,	201.500000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
88,	213.725006,	203.979996,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
89,	219.720001,	209.605011,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
90,	220.350006,	210.950012,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
91,	226.145004,	214.899994,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
92,	229.039993,	218.705017,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
93,	231.824997,	220.975006,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
94,	234.755005,	225.079987,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
95,	238.130005,	227.105011,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
96,	243.324997,	233.144989,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
97,	245.595001,	234.615005,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
98,	249.955017,	237.645004,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
99,	254.459991,	242.009995,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
100,	259.600006,	247.540009,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
101,	255.559998,	246.705002,	234.254990,	113.830002,	0.000000,	0.000000,	0.000000
102,	220.029999,	226.575012,	215.559998,	209.059998,	0.000000,	0.000000,	0.000000
103,	187.419998,	206.794998,	196.695007,	190.470001,	0.000000,	0.000000,	0.000000
104,	159.130005,	185.929993,	176.654999,	172.220001,	0.000000,	0.000000,	0.000000
105,	136.375000,	149.304993,	141.830002,	147.375000,	0.000000,	0.000000,	0.000000
106,	116.165001,	128.074997,	121.455002,	119.320000,	0.000000,	0.000000,	0.000000
107,	98.070007,	108.699997,	103.315002,	104.020004,	0.000000,	0.000000,	0.000000
108,	84.175003,	92.165001,	87.479996,	87.195000,	0.000000,	0.000000,	0.000000
109,	71.800003,	78.475006,	74.285004,	74.009995,	0.000000,	0.000000,	0.000000
110,	62.235001,	68.305000,	64.925003,	63.470001,	0.000000,	0.000000,	0.000000
111,	53.470001,	58.514999,	55.560001,	55.575001,	0.000000,	0.000000,	0.000000
112,	45.075001,	48.145000,	45.779999,	46.080002,	0.000000,	0.000000,	0.000000
113,	39.279999,	42.250000,	52.154999,	55.625000,	2.485000,	62.900002,	0.000000
114,	39.020000,	40.980000,	92.520004,	123.255005,	4.305000,	116.184998,	0.000000
115,	38.465000,	38.750000,	109.235001,	170.510010,	4.045000,	106.309998,	0.000000
116,	36.369999,	36.070000,	112.554993,	185.320007,	3.550000,	96.619995,	0.000000
117,	34.110001,	34.450001,	109.294998,	181.720001,	3.005000,	81.625000,	0.000000
118,	30.570000,	31.880001,	98.860001,	167.005005,	2.245000,	64.334999,	0.000000
119,	27.719999,	28.630001,	86.294998,	147.164993,	2.285000,	56.025002,	0.000000
120,	25.189999,	26.334999,	76.459999,	127.820007,	1.545000,	46.849998,	0.000000
121,	21.895000,	23.059999,	67.290001,	113.095001,	1.530000,	39.474998,	0.000000
122,	19.165001,	19.895000,	57.529999,	96.965004,	1.285000,	33.490002,	0.000000
123,	17.094999,	17.775000,	49.875000,	83.610001,	1.015000,	29.845001,	0.000000
124,	15.405000,	15.910000,	44.105000,	73.644997,	0.875000,	24.770000,	0.000000
125,	13.540001,	14.250000,	38.180000,	63.440002,	0.845000,	22.719999,	0.000000
126,	12.250000,	12.480000,	38.110001,	61.760002,	1.295000,	34.750000,	0.000000
127,	12.885000,	13.014999,	46.400002,	74.005005,	1.835000,	48.544998,	0.000000
128,	13.434999,	13.360000,	52.489998,	87.180000,	1.855000,	53.080002,	0.000000
129,	13.865000,	13.240000,	55.670002,	94.699997,	2.075000,	51.810001,	0.000000
130,	13.559999,	13.305000,	54.995003,	94.860001,	1.720000,	48.810001,	0.000000
131,	12.375000,	12.300000,	51.570000,	89.119995,	1.710000,	43.044998,	0.000000
132,	11.940000,	12.040000,	48.180000,	84.365005,	1.420000,	37.635002,	0.000000
133,	10.570000,	10.820000,	42.580002,	74.650002,	1.365000,	32.980000,	0.000000
134,	9.885000,	10.130000,	38.989998,	67.735001,	1.080000,	28.605000,	0.000000
135,	9.180000,	9.400000,	35.410000,	61.224998,	0.925000,	24.639999,	0.000000
136,	8.184999,	8.190001,	31.275002,	54.660004,	0.790000,	21.770000,	0.000000
137,	7.525000,	7.545000,	26.985001,	46.875000,	0.720000,	18.565001,	0.000000
138,	6.735000,	6.990000,	24.509998,	41.845001,	0.555000,	17.404999,	0.000000
139,	6.295000,	6.295000,	23.150000,	39.435001,	0.800000,	18.299999,	0.000000
140,	6.015000,	6.195000,	24.290001,	40.840000,	0.820000,	22.080000,	0.000000
141,	6.310000,	6.325000,	26.325001,	44.090000,	0.810000,	23.994999,	0.000000
142,	6.510000,	6.190000,	26.455000,	45.809998,	0.770000,	24.064999,	0.000000
143,	6.140000,	5.975000,	26.584999,	45.170002,	0.915000,	22.674999,	0.000000
144,	6.075000,	6.130000,	24.715000,	43.110001,	0.890000,	21.450001,	0.000000
145,	5.685000,	5.675000,	23.400002,	40.285000,	0.660000,	18.630001,	0.000000
146,	5.115000,	5.220000,	21.290001,	36.685001,	0.665000,	17.235001,	0.000000
147,	4.870000,	5.105000,	19.485001,	34.010002,	0.550000,	15.445000,	0.000000
148,	4.415000,	4.380000,	17.670000,	30.384998,	0.530000,	13.995000,	0.000000
149,	3.980000,	4.085000,	15.849999,	27.510000,	0.395000,	11.785000,	0.000000
150,	3.665000,	3.820000,	14.260000,	24.780001,	0.405000,	10.730000,	0.000000
151,	3.515000,	3.330000,	12.645000,	21.740000,	0.380000,	9.670000,	0.000000
152,	3.110000,	3.095000,	12.145000,	20.715000,	0.495000,	9.280001,	0.000000
153,	2.970000,	3.025000,	11.700000,	19.920000,	0.440000,	9.990000,	0.000000
154,	2.945000,	2.940000,	11.915000,	19.959999,	0.470000,	10.455000,	0.000000
155,	3.075000,	3.010000,	12.055000,	20.400000,	0.495000,	10.075000,	0.000000
156,	2.950000,	2.950000,	11.590000,	19.755001,	0.415000,	9.830000,	0.000000
157,	3.085000,	2.905000,	11.250000,	18.639999,	0.395000,	9.225000,	0.000000
158,	2.695000,	2.755000,	10.195000,	17.310001,	0.355000,	8.165000,	0.000000
159,	2.745000,	2.730000,	9.880000,	16.709999,	0.290000,	7.925000,	0.000000
160,	2.625000,	2.695000,	9.250000,	15.495000,	0.225000,	6.615000,	0.000000
