Time,	NewLatent,	NewInfectious,	NewInfectiousIdentified,	NewInfectiousUnderTreatmean,	NewInfectiousNotCured,	NewRecoveredLatent,	NewRelapse
149,	1.620000,	1.670000,	11.090000,	21.090000,	0.380000,	8.950000,	0.000000
150,	1.490000,	1.505000,	10.245000,	19.415001,	0.435000,	9.705000,	0.000000
151,	1.445000,	1.425000,	10.389999,	19.855000,	0.400000,	9.860001,	0.000000
152,	1.455000,	1.420000,	10.420000,	19.900002,	0.455000,	10.125000,	0.000000
153,	1.235000,	1.195000,	10.264999,	19.830000,	0.455000,	10.095000,	0.000000
154,	1.215000,	1.220000,	10.120000,	19.470001,	0.340000,	9.200000,	0.000000
155,	1.100000,	1.080000,	8.965000,	17.250000,	0.235000,	8.795000,	0.000000
156,	1.125000,	1.135000,	8.395000,	16.070000,	0.260000,	7.480000,	0.000000
157,	0.950000,	0.915000,	7.470000,	14.435000,	0.265000,	7.095000,	0.000000
158,	0.880000,	0.925000,	6.755000,	12.945000,	0.210000,	6.155000,	0.000000
159,	0.855000,	0.875000,	6.125000,	11.670000,	0.220000,	5.605000,	0.000000
160,	0.790000,	0.755000,	5.575000,	10.685000,	0.210000,	5.515000,	0.000000
161,	0.855000,	0.840000,	5.380000,	10.210000,	0.165000,	4.285000,	0.000000
162,	0.740000,	0.735000,	4.435000,	8.370000,	0.175000,	3.975000,	0.000000
163,	0.655000,	0.615000,	4.115000,	7.800000,	0.150000,	3.915000,	0.000000
164,	0.710000,	0.740000,	4.350000,	8.165000,	0.190000,	3.875000,	0.000000
165,	0.710000,	0.680000,	4.235000,	7.975000,	0.195000,	3.685000,	0.000000
166,	0.590000,	0.620000,	3.815000,	7.205000,	0.135000,	3.575000,	0.000000
167,	0.470000,	0.490000,	3.425000,	6.575000,	0.110000,	3.205000,	0.000000
168,	0.515000,	0.560000,	3.510000,	6.580000,	0.110000,	3.150000,	0.000000
169,	0.475000,	0.465000,	2.975000,	5.665000,	0.110000,	2.680000,	0.000000
170,	0.430000,	0.410000,	2.700000,	5.130000,	0.060000,	2.430000,	0.000000
171,	0.490000,	0.475000,	2.485000,	4.580000,	0.085000,	2.045000,	0.000000
172,	0.410000,	0.435000,	2.225000,	4.120000,	0.060000,	1.915000,	0.000000
173,	0.395000,	0.375000,	2.050000,	3.855000,	0.060000,	1.835000,	0.000000
174,	0.310000,	0.310000,	1.780000,	3.335000,	0.055000,	1.515000,	0.000000
175,	0.345000,	0.315000,	1.675000,	3.110000,	0.050000,	1.420000,	0.000000
176,	0.340000,	0.325000,	1.605000,	2.970000,	0.050000,	1.445000,	0.000000
177,	0.300000,	0.345000,	1.665000,	3.030000,	0.035000,	1.395000,	0.000000
178,	0.300000,	0.270000,	1.350000,	2.510000,	0.070000,	1.250000,	0.000000
179,	0.280000,	0.305000,	1.400000,	2.555000,	0.060000,	1.025000,	0.000000
180,	0.275000,	0.255000,	1.215000,	2.280000,	0.055000,	1.135000,	0.000000
