Time,	InfectiousM,	InfectiousIdentifiedM,	InfectiousUnderTreatmeanM,	InfectiousNotCuredM
120,	92.370003,	7.075000,	313.214996,	5.105000
121,	86.489998,	6.450000,	308.209991,	4.985000
122,	80.400002,	5.835000,	303.579987,	4.870000
123,	74.775002,	5.515000,	297.295013,	4.690000
124,	70.084999,	4.685000,	291.880005,	4.475000
125,	64.860001,	4.745000,	284.220001,	4.450000
126,	61.639999,	5.190000,	270.075012,	4.635000
127,	59.845001,	6.010000,	257.470001,	4.775000
128,	58.215000,	5.815000,	248.020004,	4.850000
129,	56.000000,	6.025000,	239.149994,	4.760000
130,	54.095001,	5.525000,	232.464996,	4.710000
131,	52.099998,	5.140000,	225.690002,	4.610000
132,	49.665001,	5.030000,	219.964996,	4.450000
133,	47.325001,	4.785000,	213.619995,	4.340000
134,	44.639999,	4.555000,	207.039993,	4.050000
135,	42.439999,	4.220000,	201.645004,	3.900000
136,	40.349998,	4.100000,	195.910004,	3.685000
137,	38.200001,	3.430000,	190.904999,	3.465000
138,	36.419998,	3.410000,	184.240005,	3.310000
139,	35.154999,	3.375000,	176.095001,	3.170000
140,	34.349998,	3.775000,	168.100006,	3.080000
141,	33.639999,	3.635000,	161.455002,	2.915000
142,	32.764999,	3.565000,	154.860001,	2.830000
143,	31.365000,	3.335000,	149.285004,	2.720000
144,	30.455000,	3.000000,	143.449997,	2.635000
145,	29.240000,	2.890000,	138.910004,	2.605000
146,	28.045000,	2.980000,	134.625000,	2.535000
147,	26.344999,	2.895000,	130.589996,	2.330000
148,	24.915001,	2.475000,	126.245003,	2.230000
149,	23.850000,	2.625000,	121.680000,	2.245000
150,	22.520000,	2.365000,	118.160004,	2.165000
151,	21.105000,	2.310000,	113.885002,	2.135000
152,	19.965000,	2.045000,	109.470001,	2.090000
153,	19.110001,	2.220000,	105.055000,	2.030000
154,	18.719999,	2.015000,	100.709999,	1.915000
155,	18.219999,	2.115000,	96.184998,	1.875000
156,	17.415001,	2.015000,	92.790001,	1.815000
157,	16.770000,	1.835000,	88.654999,	1.810000
158,	16.129999,	1.955000,	85.175003,	1.745000
159,	15.265000,	1.890000,	81.940002,	1.580000
160,	15.255000,	1.660000,	78.870003,	1.415000
161,	14.615000,	1.575000,	75.595001,	1.340000
162,	13.765000,	1.445000,	72.849998,	1.290000
163,	13.165000,	1.615000,	70.339996,	1.145000
164,	12.740000,	1.250000,	68.400002,	1.150000
165,	12.070000,	1.360000,	65.514999,	1.075000
166,	11.625000,	1.240000,	62.849998,	1.055000
167,	11.350000,	1.300000,	60.244999,	1.015000
168,	10.935000,	1.185000,	57.805000,	0.960000
169,	10.700000,	1.235000,	55.525002,	0.880000
170,	10.580000,	1.055000,	53.084999,	0.845000
171,	10.340000,	1.145000,	51.080002,	0.800000
172,	9.935000,	1.055000,	49.250000,	0.765000
173,	9.610000,	1.075000,	47.380001,	0.725000
174,	9.185000,	1.005000,	45.244999,	0.690000
175,	8.820000,	0.860000,	43.619999,	0.665000
176,	8.585000,	0.980000,	41.865002,	0.705000
177,	8.095000,	0.775000,	40.740002,	0.715000
178,	7.810000,	0.800000,	38.764999,	0.660000
179,	7.605000,	0.760000,	37.375000,	0.650000
180,	7.225000,	0.710000,	36.150002,	0.670000
181,	6.995000,	0.800000,	34.884998,	0.590000
182,	6.635000,	0.695000,	33.680000,	0.585000
183,	6.380000,	0.620000,	32.244999,	0.580000
184,	6.240000,	0.755000,	30.995001,	0.580000
185,	6.090000,	0.725000,	30.049999,	0.600000
186,	5.780000,	0.625000,	28.910000,	0.580000
187,	5.585000,	0.620000,	27.809999,	0.515000
188,	5.525000,	0.565000,	26.660000,	0.445000
189,	5.300000,	0.515000,	25.674999,	0.440000
190,	5.155000,	0.535000,	24.900000,	0.440000
191,	4.915000,	0.475000,	24.000000,	0.385000
192,	4.845000,	0.440000,	23.094999,	0.375000
193,	4.550000,	0.440000,	22.465000,	0.375000
194,	4.340000,	0.510000,	21.334999,	0.380000
195,	4.250000,	0.500000,	20.770000,	0.320000
196,	4.285000,	0.445000,	19.990000,	0.345000
197,	4.095000,	0.400000,	19.660000,	0.385000
198,	3.855000,	0.450000,	19.014999,	0.335000
199,	3.710000,	0.370000,	18.375000,	0.330000
200,	3.585000,	0.415000,	17.680000,	0.310000
