Time,	NewLatentMB,	NewInfectiousMB,	NewInfectiousIdentifiedMB,	NewInfectiousUnderTreatmeanMB,	NewInfectiousNotCuredMB,	NewRecoveredLatentMB,	NewRelapseMB
239,	0.140000,	0.105000,	0.235000,	0.220000,	0.015000,	0.130000,	0.000000
240,	0.125000,	0.120000,	0.205000,	0.205000,	0.000000,	0.095000,	0.000000
241,	0.185000,	0.160000,	0.265000,	0.255000,	0.000000,	0.130000,	0.000000
242,	0.100000,	0.090000,	0.190000,	0.190000,	0.010000,	0.075000,	0.000000
243,	0.145000,	0.150000,	0.255000,	0.230000,	0.015000,	0.155000,	0.000000
244,	0.135000,	0.150000,	0.260000,	0.270000,	0.015000,	0.095000,	0.000000
245,	0.115000,	0.110000,	0.200000,	0.165000,	0.005000,	0.120000,	0.000000
246,	0.140000,	0.135000,	0.230000,	0.240000,	0.005000,	0.115000,	0.000000
247,	0.085000,	0.085000,	0.215000,	0.225000,	0.005000,	0.130000,	0.000000
248,	0.105000,	0.095000,	0.190000,	0.190000,	0.000000,	0.090000,	0.000000
249,	0.105000,	0.100000,	0.185000,	0.175000,	0.005000,	0.125000,	0.000000
250,	0.055000,	0.060000,	0.160000,	0.170000,	0.000000,	0.100000,	0.000000
251,	0.090000,	0.090000,	0.200000,	0.195000,	0.015000,	0.095000,	0.000000
252,	0.065000,	0.075000,	0.155000,	0.155000,	0.005000,	0.105000,	0.000000
253,	0.085000,	0.075000,	0.160000,	0.145000,	0.000000,	0.130000,	0.000000
254,	0.080000,	0.090000,	0.190000,	0.190000,	0.010000,	0.080000,	0.000000
255,	0.110000,	0.075000,	0.155000,	0.155000,	0.005000,	0.140000,	0.000000
256,	0.095000,	0.090000,	0.235000,	0.215000,	0.000000,	0.140000,	0.000000
257,	0.100000,	0.080000,	0.150000,	0.150000,	0.005000,	0.085000,	0.000000
258,	0.130000,	0.140000,	0.235000,	0.225000,	0.005000,	0.095000,	0.000000
259,	0.140000,	0.150000,	0.250000,	0.240000,	0.000000,	0.110000,	0.000000
260,	0.125000,	0.090000,	0.195000,	0.200000,	0.005000,	0.075000,	0.000000
261,	0.075000,	0.100000,	0.145000,	0.130000,	0.010000,	0.080000,	0.000000
262,	0.080000,	0.080000,	0.160000,	0.155000,	0.005000,	0.100000,	0.000000
