Time,	LatentMB,	InfectiousMB,	InfectiousIdentifiedMB,	InfectiousUnderTreatmeanMB,	InfectiousNotCuredMB,	TotalInfectiousMB,	RecoveredLatentMB,	RelapseMB
288,	0.265000,	1.925000,	0.110000,	7.135000,	0.170000,	2.205000,	0.315000,	0.000000
289,	0.315000,	1.890000,	0.035000,	7.030000,	0.170000,	2.095000,	0.340000,	0.000000
290,	0.310000,	1.880000,	0.080000,	6.770000,	0.185000,	2.145000,	0.350000,	0.000000
291,	0.360000,	1.805000,	0.075000,	6.735000,	0.175000,	2.055000,	0.295000,	0.000000
292,	0.305000,	1.855000,	0.055000,	6.715000,	0.165000,	2.075000,	0.315000,	0.000000
293,	0.280000,	1.735000,	0.080000,	6.635000,	0.165000,	1.980000,	0.300000,	0.000000
294,	0.215000,	1.785000,	0.095000,	6.370000,	0.150000,	2.030000,	0.310000,	0.000000
295,	0.225000,	1.760000,	0.080000,	6.385000,	0.150000,	1.990000,	0.295000,	0.000000
296,	0.230000,	1.710000,	0.070000,	6.365000,	0.170000,	1.950000,	0.280000,	0.000000
297,	0.255000,	1.685000,	0.080000,	6.230000,	0.160000,	1.925000,	0.280000,	0.000000
298,	0.310000,	1.710000,	0.050000,	6.145000,	0.175000,	1.935000,	0.290000,	0.000000
299,	0.300000,	1.695000,	0.090000,	6.080000,	0.185000,	1.970000,	0.235000,	0.000000
300,	0.275000,	1.705000,	0.090000,	6.000000,	0.180000,	1.975000,	0.280000,	0.000000
