Time,	NewLatentM,	NewTotalInfectiousM,	NewRecoveredM,	NewRelapseM
121,	60.064999,	98.555008,	19.014999,	0.000000
122,	59.365002,	97.340004,	18.105000,	0.000000
123,	59.165001,	95.599998,	17.080000,	0.000000
124,	59.314999,	95.944992,	16.815001,	0.000000
125,	57.485001,	93.855003,	15.970000,	0.000000
126,	57.070000,	93.479996,	17.610001,	0.000000
127,	57.139999,	95.120003,	19.645000,	0.000000
128,	57.500000,	93.619995,	20.375000,	0.000000
129,	57.595001,	95.105003,	20.549999,	0.000000
130,	57.674999,	94.544998,	19.959999,	0.000000
131,	57.494999,	95.240005,	19.500000,	0.000000
132,	56.654999,	93.029999,	19.834999,	0.000000
133,	56.389999,	93.114998,	19.309999,	0.000000
134,	57.360001,	93.294998,	18.565001,	0.000000
135,	56.785000,	92.820000,	18.545000,	0.000000
136,	56.634998,	93.065002,	18.905001,	0.000000
137,	56.950001,	92.805008,	18.575001,	0.000000
138,	56.720001,	92.045006,	18.510000,	0.000000
139,	56.580002,	92.244995,	18.389999,	0.000000
140,	56.334999,	92.900002,	18.570000,	0.000000
141,	56.549999,	92.019997,	18.049999,	0.000000
142,	56.509998,	91.795006,	18.825001,	0.000000
143,	55.650002,	91.014999,	18.330000,	0.000000
144,	56.544998,	91.904999,	18.615000,	0.000000
145,	56.310001,	91.470001,	17.735001,	0.000000
146,	56.325001,	92.605003,	18.430000,	0.000000
147,	55.625000,	90.394997,	18.010000,	0.000000
148,	55.779999,	91.165001,	17.775000,	0.000000
149,	56.224998,	91.419998,	17.629999,	0.000000
150,	55.825001,	91.290001,	17.770000,	0.000000
151,	55.869999,	90.325005,	17.900000,	0.000000
152,	55.709999,	91.099998,	17.540001,	0.000000
153,	55.549999,	91.295006,	17.334999,	0.000000
154,	56.049999,	90.795006,	17.790001,	0.000000
155,	56.255001,	91.349998,	16.905001,	0.000000
156,	55.209999,	89.979996,	17.540001,	0.000000
157,	55.275002,	89.270004,	17.865000,	0.000000
158,	55.965000,	90.570007,	17.695000,	0.000000
159,	55.529999,	91.804993,	17.535000,	0.000000
160,	55.860001,	90.110001,	17.105000,	0.000000
161,	55.939999,	90.664993,	17.600000,	0.000000
162,	55.680000,	90.524994,	17.495001,	0.000000
163,	55.945000,	90.589996,	17.385000,	0.000000
164,	56.014999,	91.080002,	17.424999,	0.000000
165,	54.950001,	88.529999,	17.010000,	0.000000
166,	55.779999,	90.735001,	16.934999,	0.000000
167,	55.645000,	90.514999,	17.385000,	0.000000
168,	56.869999,	91.589996,	17.620001,	0.000000
169,	56.634998,	90.604996,	17.094999,	0.000000
170,	56.505001,	91.775002,	16.910000,	0.000000
171,	56.095001,	90.275002,	17.400000,	0.000000
172,	57.299999,	92.055000,	17.105000,	0.000000
173,	57.110001,	92.264999,	17.010000,	0.000000
174,	56.355000,	92.204994,	16.995001,	0.000000
175,	56.200001,	91.114998,	17.135000,	0.000000
176,	56.915001,	90.834999,	17.580000,	0.000000
177,	57.490002,	92.259995,	16.750000,	0.000000
178,	56.939999,	91.995003,	16.965000,	0.000000
179,	57.119999,	92.825005,	17.165001,	0.000000
180,	56.250000,	90.940002,	17.025000,	0.000000
181,	56.799999,	91.615005,	17.350000,	0.000000
182,	56.895000,	92.800003,	17.525000,	0.000000
183,	56.865002,	91.269997,	17.209999,	0.000000
184,	58.235001,	93.285004,	17.059999,	0.000000
185,	56.889999,	92.870003,	17.080000,	0.000000
186,	58.075001,	93.859993,	17.215000,	0.000000
187,	57.630001,	92.574997,	17.155001,	0.000000
188,	57.224998,	93.150002,	17.000000,	0.000000
189,	56.480000,	91.364998,	16.754999,	0.000000
190,	56.810001,	91.614998,	17.330000,	0.000000
191,	56.994999,	92.059998,	17.605000,	0.000000
192,	58.820000,	94.695007,	16.950001,	0.000000
193,	57.244999,	92.369995,	17.350000,	0.000000
194,	57.880001,	93.485001,	17.305000,	0.000000
195,	58.685001,	94.979996,	17.344999,	0.000000
196,	57.139999,	92.285004,	17.030001,	0.000000
197,	57.654999,	92.975006,	17.385000,	0.000000
198,	59.360001,	95.070000,	17.555000,	0.000000
199,	58.355000,	95.010002,	17.139999,	0.000000
200,	57.564999,	93.154999,	17.434999,	0.000000
