Time,	LatentM,	TotalInfectiousM,	RecoveredM,	RelapseM
0,	14.330000,	92.334999,	4.335000,	0.000000
1,	0.440000,	0.840000,	0.000000,	0.000000
2,	0.895000,	0.740000,	0.000000,	0.000000
3,	1.215000,	0.695000,	0.000000,	0.000000
4,	0.110000,	2.015000,	0.000000,	0.000000
5,	0.175000,	2.545000,	0.000000,	0.000000
6,	0.335000,	3.060000,	0.000000,	0.000000
7,	0.405000,	3.755000,	0.000000,	0.000000
8,	0.555000,	4.450000,	0.000000,	0.000000
9,	0.680000,	5.120000,	0.000000,	0.000000
10,	0.835000,	5.725000,	0.000000,	0.000000
11,	0.905000,	6.770000,	0.000000,	0.000000
12,	1.080000,	7.650000,	0.000000,	0.000000
13,	1.195000,	8.620000,	0.000000,	0.000000
14,	1.370000,	9.535000,	0.000000,	0.000000
15,	1.655000,	10.505000,	0.000000,	0.000000
16,	1.860000,	11.750000,	0.000000,	0.000000
17,	2.170000,	12.970000,	0.000000,	0.000000
18,	2.390000,	14.045000,	0.000000,	0.000000
19,	2.540000,	15.240000,	0.000000,	0.000000
20,	2.875000,	16.850000,	0.000000,	0.000000
21,	3.075000,	18.360001,	0.000000,	0.000000
22,	3.435000,	19.920000,	0.000000,	0.000000
23,	3.770000,	21.360001,	0.000000,	0.000000
24,	4.120000,	23.150000,	0.000000,	0.000000
25,	4.485000,	24.885000,	0.000000,	0.000000
26,	4.515000,	26.635000,	0.000000,	0.000000
27,	4.855000,	28.600000,	0.000000,	0.000000
28,	5.345000,	30.600000,	0.000000,	0.000000
29,	6.050000,	32.325001,	0.000000,	0.000000
30,	6.545000,	34.650002,	0.000000,	0.000000
31,	6.700000,	37.389999,	0.000000,	0.000000
32,	7.190000,	39.369999,	0.000000,	0.000000
33,	7.600000,	42.134998,	0.000000,	0.000000
34,	8.365000,	44.715000,	0.000000,	0.000000
35,	9.010000,	47.360001,	0.000000,	0.000000
36,	9.340000,	50.134998,	0.000000,	0.000000
37,	10.005000,	52.369999,	0.000000,	0.000000
38,	10.595000,	54.799999,	0.000000,	0.000000
39,	10.795000,	58.314999,	0.000000,	0.000000
40,	11.455000,	61.564999,	0.000000,	0.000000
41,	12.205000,	64.955002,	0.000000,	0.000000
42,	12.500000,	67.989998,	0.000000,	0.000000
43,	13.555000,	71.294998,	0.000000,	0.000000
44,	14.385000,	74.724998,	0.000000,	0.000000
45,	14.710000,	78.339996,	0.000000,	0.000000
46,	15.060000,	82.375000,	0.000000,	0.000000
47,	16.254999,	85.599998,	0.000000,	0.000000
48,	17.340000,	89.510002,	0.000000,	0.000000
49,	18.014999,	94.040001,	0.000000,	0.000000
50,	18.920000,	98.230003,	0.000000,	0.000000
51,	20.205000,	102.275002,	0.000000,	0.000000
52,	21.004999,	106.605003,	0.000000,	0.000000
53,	21.520000,	110.985001,	0.000000,	0.000000
54,	22.504999,	116.989998,	0.000000,	0.000000
55,	23.275000,	121.790001,	0.000000,	0.000000
56,	24.495001,	127.144997,	0.000000,	0.000000
57,	25.670000,	132.005005,	0.000000,	0.000000
58,	26.924999,	137.524994,	0.000000,	0.000000
59,	27.350000,	144.000000,	0.000000,	0.000000
60,	28.715000,	149.559998,	0.000000,	0.000000
61,	29.455000,	155.089996,	0.000000,	0.000000
62,	31.334999,	159.755005,	0.000000,	0.000000
63,	32.875000,	166.574997,	0.000000,	0.000000
64,	33.634998,	172.815002,	0.000000,	0.000000
65,	34.810001,	178.889999,	0.000000,	0.000000
66,	36.169998,	184.845001,	0.000000,	0.000000
67,	37.584999,	190.880005,	0.000000,	0.000000
68,	39.145000,	197.729996,	0.000000,	0.000000
69,	40.209999,	204.169998,	0.000000,	0.000000
70,	42.689999,	211.134995,	0.000000,	0.000000
71,	43.235001,	220.304993,	0.000000,	0.000000
72,	44.700001,	227.695007,	0.000000,	0.000000
73,	45.709999,	235.360001,	0.000000,	0.000000
74,	46.974998,	242.975006,	0.000000,	0.000000
75,	49.285000,	250.375000,	0.000000,	0.000000
76,	51.264999,	258.679993,	0.000000,	0.000000
77,	52.895000,	267.220001,	0.000000,	0.000000
78,	54.125000,	277.015015,	0.000000,	0.000000
79,	56.145000,	285.334991,	0.000000,	0.000000
80,	57.935001,	294.644989,	0.000000,	0.000000
81,	59.865002,	304.040009,	0.000000,	0.000000
82,	61.055000,	313.524994,	0.000000,	0.000000
83,	63.185001,	323.570007,	0.000000,	0.000000
84,	65.845001,	333.809998,	0.000000,	0.000000
85,	68.220001,	344.545013,	0.000000,	0.000000
86,	70.629997,	355.415009,	0.000000,	0.000000
87,	72.195000,	368.040009,	0.000000,	0.000000
88,	74.125000,	379.440002,	0.000000,	0.000000
89,	76.739998,	390.704987,	0.000000,	0.000000
90,	79.235001,	400.825012,	0.000000,	0.000000
91,	82.629997,	411.434998,	0.000000,	0.000000
92,	85.360001,	425.524994,	0.000000,	0.000000
93,	88.495003,	438.424988,	0.000000,	0.000000
94,	90.309998,	451.195007,	0.000000,	0.000000
95,	92.919998,	464.790009,	0.000000,	0.000000
96,	94.855003,	479.984985,	0.000000,	0.000000
97,	96.764999,	493.524994,	0.000000,	0.000000
98,	100.230003,	507.505005,	0.000000,	0.000000
99,	103.209999,	522.510010,	0.000000,	0.000000
100,	106.730003,	538.054993,	0.000000,	0.000000
101,	109.500000,	545.820007,	0.000000,	0.000000
102,	106.675003,	541.224976,	0.000000,	0.000000
103,	101.639999,	525.799988,	0.000000,	0.000000
104,	91.790001,	503.695007,	0.000000,	0.000000
105,	85.805000,	476.840027,	0.000000,	0.000000
106,	79.614998,	451.095001,	0.000000,	0.000000
107,	74.510002,	426.044983,	0.000000,	0.000000
108,	69.425003,	403.015015,	0.000000,	0.000000
109,	64.949997,	380.340027,	0.000000,	0.000000
110,	60.349998,	358.279999,	0.000000,	0.000000
111,	56.700001,	337.200012,	0.000000,	0.000000
112,	53.139999,	316.184998,	0.000000,	0.000000
113,	48.939999,	299.410004,	2.770000,	0.000000
114,	45.759998,	287.859985,	7.840000,	0.000000
115,	44.150002,	282.095001,	13.185000,	0.000000
116,	42.860001,	279.690002,	16.365000,	0.000000
117,	42.169998,	276.040009,	16.395000,	0.000000
118,	41.564999,	272.294983,	15.595000,	0.000000
119,	41.325001,	267.269989,	13.765000,	0.000000
120,	40.244999,	261.570007,	12.705000,	0.000000
121,	39.775002,	256.154999,	11.895000,	0.000000
122,	38.415001,	249.519989,	11.400000,	0.000000
123,	37.060001,	245.045013,	10.950000,	0.000000
124,	36.189999,	239.709991,	10.295000,	0.000000
125,	35.535000,	232.544998,	9.310000,	0.000000
126,	34.160000,	225.720001,	9.370000,	0.000000
127,	33.305000,	220.810013,	9.380000,	0.000000
128,	32.955002,	214.850006,	9.860000,	0.000000
129,	31.455000,	211.569992,	10.725000,	0.000000
130,	30.295000,	209.410004,	11.305000,	0.000000
131,	29.945000,	206.565002,	10.885000,	0.000000
132,	29.389999,	203.384995,	10.680000,	0.000000
133,	28.955000,	200.919998,	10.605000,	0.000000
134,	28.600000,	198.250000,	10.635000,	0.000000
135,	27.825001,	195.040009,	9.700000,	0.000000
136,	27.355000,	190.865005,	9.265000,	0.000000
137,	26.945000,	187.194992,	8.940000,	0.000000
138,	26.955000,	183.724991,	8.945000,	0.000000
139,	26.125000,	180.970001,	8.410000,	0.000000
140,	26.475000,	176.559998,	8.435000,	0.000000
141,	25.955000,	173.940002,	8.285000,	0.000000
142,	26.014999,	171.845001,	8.170000,	0.000000
143,	25.010000,	169.465012,	8.170000,	0.000000
144,	24.290001,	166.914993,	8.265000,	0.000000
145,	23.469999,	164.649994,	8.180000,	0.000000
146,	23.430000,	162.370010,	8.190000,	0.000000
147,	23.365000,	160.555008,	8.300000,	0.000000
148,	23.280001,	158.279999,	8.130000,	0.000000
149,	22.660000,	156.720001,	7.930000,	0.000000
150,	21.754999,	155.800003,	7.805000,	0.000000
151,	21.405001,	154.029999,	7.610000,	0.000000
152,	21.389999,	151.080002,	7.435000,	0.000000
153,	21.469999,	149.104996,	7.440000,	0.000000
154,	21.209999,	148.125000,	7.135000,	0.000000
155,	20.745001,	146.315002,	7.050000,	0.000000
156,	20.475000,	145.354996,	6.700000,	0.000000
157,	20.965000,	142.714996,	6.715000,	0.000000
158,	20.590000,	142.084991,	6.560000,	0.000000
159,	19.924999,	139.470001,	6.750000,	0.000000
160,	19.115000,	137.654999,	6.645000,	0.000000
161,	19.959999,	134.854996,	6.625000,	0.000000
162,	19.795000,	133.569992,	6.440000,	0.000000
163,	19.695000,	131.300003,	6.250000,	0.000000
164,	18.855000,	130.125000,	6.140000,	0.000000
165,	18.410000,	127.775002,	5.975000,	0.000000
166,	18.174999,	126.629997,	5.850000,	0.000000
167,	17.674999,	124.639999,	5.820000,	0.000000
168,	17.645000,	123.219994,	5.675000,	0.000000
169,	17.610001,	121.354996,	5.765000,	0.000000
170,	17.155001,	121.019997,	5.820000,	0.000000
171,	17.184999,	119.690002,	6.095000,	0.000000
172,	17.170000,	118.024994,	5.615000,	0.000000
173,	16.885000,	116.845001,	5.540000,	0.000000
174,	16.680000,	115.499992,	5.800000,	0.000000
175,	16.235001,	114.809998,	5.680000,	0.000000
176,	15.970000,	114.154999,	5.405000,	0.000000
177,	16.045000,	112.375008,	5.735000,	0.000000
178,	16.049999,	111.430000,	5.290000,	0.000000
179,	16.110001,	110.445000,	5.345000,	0.000000
180,	16.030001,	109.680000,	5.220000,	0.000000
181,	15.905000,	109.500000,	5.050000,	0.000000
182,	15.355000,	108.709999,	5.295000,	0.000000
183,	15.230000,	108.105003,	5.355000,	0.000000
184,	15.275000,	106.590004,	4.990000,	0.000000
185,	15.050000,	106.150002,	4.815000,	0.000000
186,	15.125000,	104.264999,	4.840000,	0.000000
187,	14.795000,	103.415001,	4.975000,	0.000000
188,	14.640000,	102.680000,	4.975000,	0.000000
189,	14.685000,	101.919998,	4.995000,	0.000000
190,	14.480000,	101.494995,	4.995000,	0.000000
191,	14.465000,	100.975006,	4.625000,	0.000000
192,	14.190000,	100.475006,	4.520000,	0.000000
193,	14.350000,	99.419998,	4.565000,	0.000000
194,	14.475000,	98.675003,	4.410000,	0.000000
195,	14.430000,	97.584999,	4.410000,	0.000000
196,	13.890000,	96.525002,	4.445000,	0.000000
197,	13.830000,	95.720009,	4.380000,	0.000000
198,	13.820000,	95.159996,	4.760000,	0.000000
199,	13.585000,	94.614998,	4.365000,	0.000000
200,	13.520000,	93.209999,	4.370000,	0.000000
