Time,	LatentMB,	InfectiousMB,	InfectiousIdentifiedMB,	InfectiousUnderTreatmeanMB,	InfectiousNotCuredMB,	TotalInfectiousMB,	RecoveredLatentMB,	RelapseMB
79,	48.160000,	246.389999,	0.000000,	0.000000,	0.000000,	246.389999,	0.000000,	0.000000
80,	49.419998,	253.350006,	0.000000,	0.000000,	0.000000,	253.350006,	0.000000,	0.000000
81,	50.680000,	260.750000,	0.000000,	0.000000,	0.000000,	260.750000,	0.000000,	0.000000
82,	52.400002,	268.380005,	0.000000,	0.000000,	0.000000,	268.380005,	0.000000,	0.000000
83,	54.610001,	275.959991,	0.000000,	0.000000,	0.000000,	275.959991,	0.000000,	0.000000
84,	55.869999,	284.519989,	0.000000,	0.000000,	0.000000,	284.519989,	0.000000,	0.000000
85,	57.820000,	293.339996,	0.000000,	0.000000,	0.000000,	293.339996,	0.000000,	0.000000
86,	60.160000,	302.890015,	0.000000,	0.000000,	0.000000,	302.890015,	0.000000,	0.000000
87,	61.919998,	313.959991,	0.000000,	0.000000,	0.000000,	313.959991,	0.000000,	0.000000
88,	63.759998,	324.700012,	0.000000,	0.000000,	0.000000,	324.700012,	0.000000,	0.000000
89,	65.599998,	335.359985,	0.000000,	0.000000,	0.000000,	335.359985,	0.000000,	0.000000
90,	67.650002,	344.470001,	0.000000,	0.000000,	0.000000,	344.470001,	0.000000,	0.000000
91,	71.019997,	353.420013,	0.000000,	0.000000,	0.000000,	353.420013,	0.000000,	0.000000
92,	74.379997,	365.980011,	0.000000,	0.000000,	0.000000,	365.980011,	0.000000,	0.000000
93,	76.000000,	376.850006,	0.000000,	0.000000,	0.000000,	376.850006,	0.000000,	0.000000
94,	76.730003,	386.859985,	0.000000,	0.000000,	0.000000,	386.859985,	0.000000,	0.000000
95,	79.879997,	398.910004,	0.000000,	0.000000,	0.000000,	398.910004,	0.000000,	0.000000
96,	81.680000,	411.589996,	0.000000,	0.000000,	0.000000,	411.589996,	0.000000,	0.000000
97,	83.589996,	422.950012,	0.000000,	0.000000,	0.000000,	422.950012,	0.000000,	0.000000
98,	85.879997,	434.869995,	0.000000,	0.000000,	0.000000,	434.869995,	0.000000,	0.000000
99,	88.860001,	447.760010,	0.000000,	0.000000,	0.000000,	447.760010,	0.000000,	0.000000
100,	91.820000,	460.640015,	0.000000,	0.000000,	0.000000,	460.640015,	0.000000,	0.000000
101,	69.480003,	414.220001,	14.790000,	22.930000,	0.000000,	429.010010,	0.000000,	0.000000
102,	50.750000,	371.480011,	18.940001,	53.810001,	0.000000,	390.420013,	0.000000,	0.000000
103,	37.930000,	330.049988,	14.830000,	91.989998,	0.000000,	344.879974,	0.000000,	0.000000
104,	28.940001,	284.679993,	5.280000,	134.039993,	0.000000,	289.959991,	0.000000,	0.000000
105,	23.540001,	245.190002,	0.950000,	164.020004,	0.000000,	246.139999,	0.000000,	0.000000
106,	19.600000,	210.779999,	0.000000,	184.559998,	0.000000,	210.779999,	0.000000,	0.000000
107,	15.420000,	181.160004,	0.000000,	200.240005,	0.000000,	181.160004,	0.000000,	0.000000
108,	12.890000,	155.899994,	0.000000,	211.820007,	0.000000,	155.899994,	0.000000,	0.000000
109,	10.150000,	133.179993,	0.000000,	219.320007,	0.000000,	133.179993,	0.000000,	0.000000
110,	8.410000,	113.970001,	0.000000,	224.020004,	0.000000,	113.970001,	0.000000,	0.000000
111,	6.700000,	96.739998,	0.000000,	226.509995,	0.000000,	96.739998,	0.000000,	0.000000
112,	5.620000,	81.910004,	0.000000,	225.699997,	0.000000,	81.910004,	0.000000,	0.000000
113,	4.730000,	71.989998,	1.730000,	211.960007,	0.600000,	74.320000,	7.220000,	0.000000
114,	4.530000,	66.360001,	5.150000,	193.570007,	1.190000,	72.700005,	12.250000,	0.000000
115,	4.220000,	64.269997,	9.360000,	173.229996,	2.000000,	75.629997,	15.130000,	0.000000
116,	4.300000,	63.619999,	12.600000,	152.660004,	2.690000,	78.910004,	18.330000,	0.000000
117,	4.480000,	63.040001,	12.290000,	142.470001,	2.970000,	78.300003,	15.310000,	0.000000
118,	4.330000,	60.549999,	10.900000,	137.240005,	3.150000,	74.599998,	11.730000,	0.000000
119,	4.430000,	56.270000,	8.900000,	134.039993,	3.110000,	68.279999,	9.810000,	0.000000
120,	4.040000,	52.139999,	7.330000,	130.779999,	2.900000,	62.370003,	8.440000,	0.000000
121,	3.960000,	48.099998,	6.460000,	127.989998,	2.740000,	57.299999,	7.000000,	0.000000
122,	3.400000,	43.770000,	5.300000,	125.860001,	2.490000,	51.560001,	5.830000,	0.000000
123,	3.180000,	39.330002,	4.380000,	123.940002,	2.330000,	46.040001,	4.750000,	0.000000
124,	2.670000,	35.150002,	3.880000,	120.790001,	2.140000,	41.170002,	4.040000,	0.000000
125,	2.280000,	31.860001,	3.130000,	116.720001,	1.950000,	36.940002,	3.950000,	0.000000
126,	2.090000,	28.530001,	3.040000,	112.199997,	1.940000,	33.509998,	4.090000,	0.000000
127,	1.970000,	26.120001,	3.430000,	106.040001,	1.990000,	31.540001,	4.420000,	0.000000
128,	1.820000,	24.660000,	3.520000,	99.010002,	1.880000,	30.059999,	5.950000,	0.000000
129,	1.720000,	23.820000,	4.310000,	90.570000,	1.850000,	29.980000,	6.870000,	0.000000
130,	1.740000,	23.590000,	4.670000,	83.910004,	2.070000,	30.330000,	6.530000,	0.000000
131,	1.720000,	23.070000,	5.170000,	78.250000,	2.100000,	30.340000,	5.900000,	0.000000
132,	1.770000,	22.320000,	4.730000,	73.739998,	2.080000,	29.129999,	5.440000,	0.000000
133,	1.620000,	21.360001,	4.230000,	69.410004,	2.110000,	27.700001,	5.110000,	0.000000
134,	1.430000,	20.340000,	4.010000,	66.120003,	1.910000,	26.260000,	4.640000,	0.000000
135,	1.420000,	19.010000,	3.860000,	63.380001,	1.820000,	24.690001,	3.680000,	0.000000
136,	1.180000,	17.670000,	2.930000,	60.650002,	1.750000,	22.350000,	3.460000,	0.000000
137,	1.140000,	16.120001,	2.400000,	58.730000,	1.610000,	20.130001,	2.920000,	0.000000
138,	0.960000,	14.780000,	2.230000,	56.200001,	1.500000,	18.510000,	2.760000,	0.000000
