Time,	LatentPB,	InfectiousPB,	InfectiousIdentifiedPB,	InfectiousUnderTreatmeanPB,	InfectiousNotCuredPB,	TotalInfectiousPB,	RecoveredLatentPB,	RelapsePB
165,	0.750000,	8.555000,	0.830000,	40.700001,	0.455000,	9.840000,	7.790000,	0.000000
166,	0.660000,	8.225000,	0.890000,	38.779999,	0.420000,	9.535001,	7.230000,	0.000000
167,	0.650000,	7.690000,	0.705000,	36.955002,	0.390000,	8.785001,	6.600000,	0.000000
168,	0.635000,	7.325000,	0.600000,	35.029999,	0.395000,	8.320000,	6.265000,	0.000000
169,	0.685000,	7.140000,	0.595000,	32.834999,	0.340000,	8.075000,	6.145000,	0.000000
170,	0.590000,	6.820000,	0.575000,	31.080000,	0.315000,	7.710000,	5.590000,	0.000000
171,	0.565000,	6.475000,	0.535000,	29.305000,	0.295000,	7.305000,	5.565000,	0.000000
172,	0.505000,	6.205000,	0.615000,	27.730000,	0.265000,	7.085000,	5.050000,	0.000000
173,	0.465000,	5.845000,	0.465000,	26.375000,	0.255000,	6.565000,	4.775000,	0.000000
174,	0.375000,	5.515000,	0.410000,	25.059999,	0.235000,	6.160000,	4.500000,	0.000000
175,	0.345000,	5.245000,	0.360000,	23.305000,	0.220000,	5.825000,	4.350000,	0.000000
176,	0.350000,	4.985000,	0.445000,	21.965000,	0.210000,	5.640000,	4.080000,	0.000000
177,	0.480000,	4.915000,	0.370000,	20.754999,	0.205000,	5.490000,	3.985000,	0.000000
178,	0.485000,	4.705000,	0.420000,	19.540001,	0.240000,	5.365000,	3.780000,	0.000000
179,	0.405000,	4.535000,	0.455000,	18.360001,	0.210000,	5.200000,	3.600000,	0.000000
180,	0.340000,	4.375000,	0.330000,	17.580000,	0.190000,	4.895000,	3.355000,	0.000000
181,	0.285000,	4.210000,	0.325000,	16.715000,	0.170000,	4.705000,	3.155000,	0.000000
182,	0.330000,	3.870000,	0.300000,	15.830000,	0.140000,	4.310000,	2.955000,	0.000000
183,	0.260000,	3.645000,	0.270000,	15.125000,	0.135000,	4.050000,	2.815000,	0.000000
184,	0.240000,	3.515000,	0.285000,	14.250000,	0.120000,	3.920000,	2.635000,	0.000000
185,	0.250000,	3.270000,	0.240000,	13.390000,	0.120000,	3.630000,	2.635000,	0.000000
186,	0.235000,	3.305000,	0.250000,	12.745000,	0.130000,	3.685000,	2.440000,	0.000000
187,	0.270000,	3.185000,	0.170000,	12.315000,	0.115000,	3.470000,	2.180000,	0.000000
188,	0.300000,	3.045000,	0.220000,	11.755000,	0.090000,	3.355000,	2.040000,	0.000000
189,	0.265000,	2.945000,	0.165000,	11.150000,	0.090000,	3.200000,	2.020000,	0.000000
190,	0.205000,	2.855000,	0.205000,	10.420000,	0.080000,	3.140000,	1.965000,	0.000000
191,	0.200000,	2.735000,	0.225000,	9.870000,	0.070000,	3.030000,	1.920000,	0.000000
