Time,	NewLatentMB,	NewInfectiousMB,	NewInfectiousIdentifiedMB,	NewInfectiousUnderTreatmeanMB,	NewInfectiousNotCuredMB,	NewRecoveredLatentMB,	NewRelapseMB
70,	45.685001,	41.480000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
71,	45.985001,	43.695000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
72,	47.035000,	43.525002,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
73,	49.529999,	46.334999,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
74,	50.415001,	47.064999,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
75,	52.005001,	47.689999,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
76,	54.340000,	50.139999,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
77,	55.270000,	51.424999,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
78,	57.575001,	53.950001,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
79,	58.645000,	54.145000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
80,	60.959999,	56.744999,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
81,	62.005001,	57.474998,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
82,	63.840000,	60.029999,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
83,	66.635002,	61.744999,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
84,	68.870003,	63.195000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
85,	70.379997,	65.014999,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
86,	72.885002,	67.449997,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
87,	74.605003,	69.785004,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
88,	77.220001,	71.845001,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
89,	79.754997,	73.834999,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
90,	81.095001,	75.114998,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
91,	84.315002,	77.250000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
92,	87.610001,	81.355003,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
93,	89.470001,	82.654999,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
94,	91.504997,	85.555000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
95,	94.785004,	87.910004,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
96,	97.250000,	90.775002,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
97,	98.714996,	92.330002,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
98,	102.355003,	94.610001,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
99,	105.574997,	97.860001,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
100,	108.610001,	100.379997,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
101,	110.139999,	102.879997,	76.945000,	12.865000,	0.000000,	0.000000,	0.000000
102,	106.794998,	102.735001,	77.070000,	34.590000,	0.000000,	0.000000,	0.000000
103,	99.485001,	99.279999,	74.050003,	52.860001,	0.000000,	0.000000,	0.000000
104,	93.485001,	97.875000,	73.699997,	61.035000,	0.000000,	0.000000,	0.000000
105,	86.114998,	90.175003,	67.275002,	58.115002,	0.000000,	0.000000,	0.000000
106,	77.195000,	82.459999,	61.945000,	56.735001,	0.000000,	0.000000,	0.000000
107,	70.375000,	76.605003,	56.985001,	51.195000,	0.000000,	0.000000,	0.000000
108,	66.095001,	69.449997,	52.340000,	47.430000,	0.000000,	0.000000,	0.000000
109,	60.680000,	64.535004,	48.325001,	42.845001,	0.000000,	0.000000,	0.000000
110,	55.599998,	59.535000,	44.334999,	39.860001,	0.000000,	0.000000,	0.000000
111,	51.029999,	54.279999,	41.049999,	37.595001,	0.000000,	0.000000,	0.000000
112,	47.029999,	49.590000,	37.305000,	33.845001,	0.000000,	0.000000,	0.000000
113,	43.525002,	46.529999,	36.564999,	31.735001,	0.315000,	7.205000,	0.000000
114,	41.955002,	43.345001,	41.075001,	30.165001,	0.960000,	19.165001,	0.000000
115,	42.634998,	42.270000,	47.705002,	31.305000,	1.435000,	29.690001,	0.000000
116,	43.555000,	43.205002,	54.450001,	36.125000,	1.825000,	34.544998,	0.000000
117,	45.855000,	44.119999,	57.314999,	40.404999,	1.800000,	32.650002,	0.000000
118,	46.570000,	44.955002,	56.285000,	43.750000,	1.570000,	31.250000,	0.000000
119,	47.255001,	45.560001,	56.355000,	44.340000,	1.490000,	28.480000,	0.000000
120,	46.544998,	45.595001,	54.270000,	44.365002,	1.290000,	26.385000,	0.000000
121,	45.529999,	44.855000,	52.470001,	42.514999,	1.325000,	23.924999,	0.000000
122,	44.049999,	44.180000,	50.259998,	42.279999,	1.085000,	22.115000,	0.000000
123,	43.169998,	42.334999,	47.275002,	39.779999,	1.020000,	20.670000,	0.000000
124,	41.875000,	41.685001,	45.549999,	38.275002,	1.055000,	18.469999,	0.000000
125,	40.474998,	40.005001,	43.549999,	35.930000,	0.940000,	17.365000,	0.000000
126,	39.165001,	39.380001,	42.035000,	34.744999,	0.845000,	16.855000,	0.000000
127,	38.125000,	38.349998,	41.154999,	33.415001,	0.795000,	17.254999,	0.000000
128,	37.240002,	36.970001,	40.814999,	33.049999,	0.935000,	19.200001,	0.000000
129,	37.035000,	36.279999,	41.514999,	32.205002,	1.155000,	21.740000,	0.000000
130,	37.915001,	37.020000,	43.619999,	32.439999,	1.285000,	23.120001,	0.000000
131,	37.720001,	36.540001,	44.040001,	33.785000,	1.180000,	23.705000,	0.000000
132,	38.009998,	37.360001,	44.910000,	34.139999,	1.335000,	23.620001,	0.000000
133,	38.544998,	37.439999,	44.830002,	35.139999,	1.095000,	22.375000,	0.000000
134,	37.400002,	36.605000,	44.139999,	34.820000,	1.105000,	22.620001,	0.000000
135,	37.855000,	36.845001,	43.455002,	34.294998,	0.975000,	21.084999,	0.000000
136,	37.415001,	36.680000,	42.799999,	34.125000,	1.005000,	20.440001,	0.000000
137,	36.494999,	35.820000,	41.320000,	32.889999,	0.870000,	19.020000,	0.000000
138,	37.529999,	36.895000,	41.014999,	32.945000,	0.885000,	18.525000,	0.000000
139,	36.445000,	35.689999,	40.025002,	32.134998,	0.835000,	17.889999,	0.000000
140,	35.904999,	35.424999,	39.345001,	31.295000,	0.785000,	17.245001,	0.000000
141,	35.220001,	34.799999,	38.695000,	31.385000,	0.905000,	17.180000,	0.000000
142,	34.845001,	33.930000,	37.689999,	29.995001,	0.895000,	17.340000,	0.000000
143,	34.115002,	33.540001,	37.549999,	29.995001,	0.915000,	17.830000,	0.000000
144,	34.270000,	33.439999,	37.764999,	29.855000,	0.875000,	17.719999,	0.000000
145,	33.570000,	33.325001,	37.959999,	28.889999,	0.875000,	18.510000,	0.000000
146,	34.115002,	33.450001,	38.419998,	29.969999,	0.800000,	18.395000,	0.000000
147,	34.195000,	33.889999,	38.669998,	29.715000,	0.980000,	17.955000,	0.000000
148,	33.790001,	32.564999,	37.459999,	29.790001,	0.980000,	18.025000,	0.000000
149,	33.705002,	32.950001,	37.325001,	29.174999,	0.870000,	17.049999,	0.000000
150,	32.875000,	32.130001,	36.520000,	29.045000,	0.905000,	17.160000,	0.000000
151,	32.685001,	31.959999,	36.055000,	28.375000,	0.830000,	16.955000,	0.000000
152,	31.950001,	31.750000,	36.389999,	27.969999,	0.795000,	16.965000,	0.000000
153,	32.695000,	31.965000,	35.610001,	28.469999,	0.815000,	16.360001,	0.000000
154,	32.700001,	32.185001,	35.485001,	27.799999,	0.760000,	15.635000,	0.000000
155,	32.994999,	32.009998,	35.205002,	27.420000,	0.740000,	15.820000,	0.000000
156,	32.220001,	31.285000,	34.790001,	27.495001,	0.725000,	15.490000,	0.000000
157,	30.570000,	30.059999,	33.564999,	25.895000,	0.805000,	14.975000,	0.000000
158,	31.209999,	30.805000,	34.459999,	26.670000,	0.760000,	15.645000,	0.000000
159,	30.665001,	30.004999,	33.814999,	27.100000,	0.735000,	15.540000,	0.000000
160,	30.754999,	30.135000,	33.785000,	26.195000,	0.765000,	15.185000,	0.000000
161,	30.080000,	29.875000,	33.235001,	25.695000,	0.790000,	15.090000,	0.000000
162,	30.395000,	30.084999,	33.645000,	26.115000,	0.680000,	15.275000,	0.000000
163,	30.540001,	30.190001,	33.235001,	25.840000,	0.735000,	14.790000,	0.000000
164,	29.174999,	28.094999,	31.830000,	25.434999,	0.855000,	14.205000,	0.000000
165,	29.379999,	28.870001,	32.259998,	24.934999,	0.740000,	14.705000,	0.000000
166,	29.705000,	29.020000,	32.860001,	24.754999,	0.860000,	14.385000,	0.000000
167,	29.195000,	28.940001,	31.875000,	24.910000,	0.665000,	14.325000,	0.000000
168,	29.135000,	28.670000,	31.680000,	24.790001,	0.845000,	13.830000,	0.000000
169,	27.920000,	27.840000,	30.995001,	25.075001,	0.555000,	13.345000,	0.000000
170,	28.715000,	27.754999,	30.504999,	24.320000,	0.565000,	14.175000,	0.000000
171,	27.455000,	26.980000,	30.565001,	23.745001,	0.730000,	14.410000,	0.000000
172,	27.945000,	27.719999,	30.525000,	23.450001,	0.610000,	13.345000,	0.000000
173,	27.105000,	26.600000,	29.610001,	23.240000,	0.780000,	13.035000,	0.000000
174,	27.740000,	27.375000,	29.690001,	22.945000,	0.635000,	13.335000,	0.000000
175,	27.264999,	26.049999,	29.350000,	23.165001,	0.780000,	13.060000,	0.000000
176,	26.965000,	26.690001,	29.389999,	22.610001,	0.710000,	12.995000,	0.000000
177,	27.445000,	26.805000,	29.530001,	22.305000,	0.620000,	13.115000,	0.000000
178,	26.924999,	26.455000,	29.260000,	23.100000,	0.635000,	12.990000,	0.000000
179,	26.645000,	26.520000,	29.334999,	23.115000,	0.695000,	13.015000,	0.000000
180,	26.525000,	26.150000,	28.865000,	22.205000,	0.645000,	12.415000,	0.000000
181,	27.129999,	26.330000,	28.820000,	21.805000,	0.655000,	12.510000,	0.000000
182,	26.405001,	25.865000,	28.684999,	22.754999,	0.600000,	12.520000,	0.000000
183,	25.855000,	25.500000,	27.780001,	22.065001,	0.555000,	11.940000,	0.000000
184,	26.065001,	25.160000,	27.680000,	21.190001,	0.555000,	12.230000,	0.000000
185,	25.215000,	25.014999,	27.434999,	21.565001,	0.625000,	11.875000,	0.000000
186,	25.264999,	24.945000,	27.795000,	21.115000,	0.605000,	12.020000,	0.000000
187,	24.860001,	24.674999,	27.084999,	21.535000,	0.585000,	11.830000,	0.000000
188,	24.495001,	24.070000,	26.235001,	21.270000,	0.645000,	11.565000,	0.000000
189,	25.495001,	24.580000,	26.985001,	20.745001,	0.510000,	11.390000,	0.000000
190,	25.155001,	24.305000,	26.610001,	20.860001,	0.615000,	11.810000,	0.000000
191,	23.969999,	23.870001,	26.594999,	20.504999,	0.570000,	11.925000,	0.000000
192,	24.184999,	23.980000,	26.330000,	20.650000,	0.650000,	11.485000,	0.000000
193,	23.924999,	23.500000,	26.110001,	20.325001,	0.575000,	11.615000,	0.000000
194,	23.715000,	22.834999,	25.805000,	20.240000,	0.545000,	11.545000,	0.000000
195,	24.219999,	23.844999,	25.975000,	19.950001,	0.605000,	11.670000,	0.000000
196,	23.605000,	23.190001,	25.504999,	20.025000,	0.605000,	10.980000,	0.000000
197,	23.180000,	22.549999,	25.209999,	19.674999,	0.460000,	11.125000,	0.000000
198,	24.020000,	23.555000,	25.410000,	19.629999,	0.625000,	10.675000,	0.000000
199,	23.105000,	22.834999,	24.905001,	19.965000,	0.545000,	11.235000,	0.000000
200,	22.840000,	22.424999,	24.995001,	19.299999,	0.530000,	10.945000,	0.000000
