Time,	Latent,	Infectious,	InfectiousIdentified,	InfectiousUnderTreatmean,	InfectiousNotCured,	TotalInfectious,	RecoveredLatent,	Relapse
282,	1.555000,	11.950000,	0.005000,	17.619999,	0.325000,	12.280000,	0.890000,	0.000000
283,	1.545000,	11.915000,	0.015000,	17.165001,	0.295000,	12.225000,	0.935000,	0.000000
284,	1.660000,	11.725000,	0.005000,	17.049999,	0.255000,	11.985000,	0.840000,	0.000000
285,	1.485000,	11.455000,	0.000000,	16.924999,	0.280000,	11.735000,	0.870000,	0.000000
286,	1.475000,	11.349999,	0.000000,	16.684999,	0.305000,	11.654999,	0.865000,	0.000000
287,	1.520000,	11.130000,	0.000000,	16.395000,	0.310000,	11.440000,	0.950000,	0.000000
288,	1.475000,	10.934999,	0.000000,	16.365000,	0.315000,	11.250000,	0.805000,	0.000000
289,	1.280000,	10.870000,	0.005000,	16.225000,	0.285000,	11.160000,	0.840000,	0.000000
290,	1.375000,	10.825000,	0.005000,	16.215000,	0.295000,	11.125000,	0.830000,	0.000000
291,	1.225000,	10.760000,	0.005000,	15.995000,	0.235000,	11.000000,	0.905000,	0.000000
292,	1.260000,	10.580000,	0.000000,	15.905001,	0.240000,	10.820000,	0.765000,	0.000000
293,	1.230000,	10.379999,	0.010000,	15.684999,	0.220000,	10.610000,	0.745000,	0.000000
294,	1.240000,	10.495001,	0.005000,	15.395000,	0.200000,	10.700001,	0.805000,	0.000000
295,	1.295000,	10.365000,	0.000000,	15.125000,	0.195000,	10.560000,	0.830000,	0.000000
296,	1.250000,	10.280000,	0.005000,	15.115000,	0.190000,	10.475000,	0.765000,	0.000000
297,	1.325000,	10.174999,	0.000000,	14.900000,	0.180000,	10.355000,	0.850000,	0.000000
298,	1.340000,	9.985001,	0.010000,	14.559999,	0.170000,	10.165001,	0.875000,	0.000000
299,	1.245000,	10.155000,	0.005000,	14.440000,	0.145000,	10.305000,	0.850000,	0.000000
300,	1.070000,	10.389999,	0.005000,	14.330000,	0.155000,	10.550000,	0.725000,	0.000000
