Time,	LatentPB,	InfectiousPB,	InfectiousIdentifiedPB,	InfectiousUnderTreatmeanPB,	InfectiousNotCuredPB,	TotalInfectiousPB,	RecoveredLatentPB,	RelapsePB
236,	0.855000,	10.270000,	0.005000,	14.840000,	0.130000,	10.405001,	2.300000,	0.000000
237,	0.910000,	10.120000,	0.015000,	14.305000,	0.115000,	10.250000,	2.325000,	0.000000
238,	0.930000,	9.850000,	0.000000,	14.140000,	0.105000,	9.955000,	2.360000,	0.000000
239,	0.870000,	9.790000,	0.000000,	13.855000,	0.125000,	9.915000,	2.215000,	0.000000
240,	0.785000,	9.770000,	0.000000,	13.655000,	0.130000,	9.900001,	2.130000,	0.000000
241,	0.740000,	9.405000,	0.000000,	13.545000,	0.135000,	9.540000,	2.025000,	0.000000
242,	0.710000,	9.265000,	0.005000,	13.300000,	0.125000,	9.395000,	1.940000,	0.000000
243,	0.785000,	8.970000,	0.010000,	13.015000,	0.125000,	9.105000,	2.005000,	0.000000
244,	0.805000,	8.620000,	0.005000,	12.765000,	0.120000,	8.745000,	1.895000,	0.000000
245,	0.825000,	8.570000,	0.005000,	12.315000,	0.120000,	8.695000,	1.950000,	0.000000
246,	0.720000,	8.545000,	0.000000,	12.120000,	0.110000,	8.655000,	1.920000,	0.000000
247,	0.675000,	8.525000,	0.000000,	11.930000,	0.110000,	8.634999,	1.825000,	0.000000
248,	0.655000,	8.250000,	0.005000,	11.685000,	0.125000,	8.380000,	1.785000,	0.000000
249,	0.595000,	8.095000,	0.005000,	11.635000,	0.150000,	8.250000,	1.590000,	0.000000
250,	0.645000,	7.825000,	0.000000,	11.285000,	0.140000,	7.965000,	1.695000,	0.000000
251,	0.745000,	7.685000,	0.000000,	10.990000,	0.160000,	7.845000,	1.635000,	0.000000
252,	0.625000,	7.505000,	0.000000,	10.680000,	0.145000,	7.650000,	1.655000,	0.000000
253,	0.655000,	7.330000,	0.000000,	10.520000,	0.135000,	7.465000,	1.655000,	0.000000
254,	0.635000,	7.200000,	0.000000,	10.295000,	0.120000,	7.320000,	1.495000,	0.000000
255,	0.620000,	7.115000,	0.000000,	10.040000,	0.110000,	7.225000,	1.455000,	0.000000
256,	0.510000,	7.165000,	0.000000,	9.910000,	0.085000,	7.250000,	1.515000,	0.000000
257,	0.575000,	7.060000,	0.005000,	9.820000,	0.085000,	7.150000,	1.470000,	0.000000
258,	0.645000,	7.000000,	0.000000,	9.505000,	0.095000,	7.095000,	1.420000,	0.000000
259,	0.630000,	6.915000,	0.000000,	9.270000,	0.090000,	7.005000,	1.435000,	0.000000
260,	0.615000,	6.825000,	0.000000,	9.080000,	0.100000,	6.925000,	1.440000,	0.000000
261,	0.645000,	6.780000,	0.000000,	8.985000,	0.095000,	6.875000,	1.380000,	0.000000
262,	0.590000,	6.830000,	0.000000,	8.805000,	0.095000,	6.925000,	1.275000,	0.000000
263,	0.530000,	6.690000,	0.000000,	8.750000,	0.095000,	6.785000,	1.190000,	0.000000
264,	0.520000,	6.695000,	0.000000,	8.670000,	0.085000,	6.780000,	1.100000,	0.000000
265,	0.460000,	6.520000,	0.010000,	8.400000,	0.105000,	6.635000,	1.190000,	0.000000
266,	0.560000,	6.465000,	0.000000,	8.220000,	0.100000,	6.565000,	1.260000,	0.000000
267,	0.535000,	6.225000,	0.000000,	8.015000,	0.100000,	6.325000,	1.240000,	0.000000
268,	0.535000,	6.145000,	0.005000,	7.905000,	0.100000,	6.250000,	1.200000,	0.000000
269,	0.535000,	6.220000,	0.005000,	7.775000,	0.115000,	6.340000,	1.180000,	0.000000
270,	0.575000,	6.105000,	0.000000,	7.790000,	0.115000,	6.220000,	1.000000,	0.000000
271,	0.520000,	6.055000,	0.000000,	7.605000,	0.110000,	6.165000,	1.085000,	0.000000
272,	0.440000,	5.875000,	0.000000,	7.480000,	0.085000,	5.960000,	1.145000,	0.000000
273,	0.485000,	5.810000,	0.005000,	7.290000,	0.080000,	5.895000,	1.175000,	0.000000
274,	0.475000,	5.855000,	0.005000,	7.355000,	0.065000,	5.925000,	1.065000,	0.000000
275,	0.480000,	5.785000,	0.010000,	7.105000,	0.060000,	5.855000,	1.135000,	0.000000
276,	0.485000,	5.740000,	0.000000,	7.115000,	0.060000,	5.800000,	1.040000,	0.000000
277,	0.510000,	5.855000,	0.000000,	7.045000,	0.075000,	5.930000,	0.925000,	0.000000
