Time,	Latent,	Infectious,	InfectiousIdentified,	InfectiousUnderTreatmean,	InfectiousNotCured,	TotalInfectious,	RecoveredLatent,	Relapse
274,	20.660000,	128.250000,	0.060000,	204.959991,	2.760000,	131.070000,	8.320000,	0.000000
275,	21.260000,	128.089996,	0.060000,	204.449997,	2.860000,	131.009998,	8.825000,	0.000000
276,	20.940001,	128.949997,	0.080000,	204.485001,	2.850000,	131.880000,	8.535001,	0.000000
277,	20.420000,	128.964996,	0.060000,	204.674988,	2.790000,	131.814991,	8.605000,	0.000000
278,	20.529999,	127.939995,	0.035000,	204.959991,	2.770000,	130.745001,	8.550000,	0.000000
279,	20.345001,	127.410004,	0.055000,	205.000000,	2.705000,	130.170001,	8.665000,	0.000000
280,	20.285000,	127.589996,	0.050000,	204.775009,	2.655000,	130.295000,	8.460000,	0.000000
281,	20.275000,	127.295006,	0.065000,	204.865005,	2.635000,	129.995003,	8.570000,	0.000000
282,	20.405001,	127.459999,	0.100000,	204.459991,	2.700000,	130.259998,	8.810000,	0.000000
283,	20.344999,	127.729996,	0.070000,	204.759995,	2.750000,	130.550002,	8.585000,	0.000000
284,	20.344999,	127.239998,	0.080000,	205.275009,	2.835000,	130.154998,	8.510000,	0.000000
285,	20.155001,	126.925003,	0.050000,	204.940002,	2.785000,	129.760004,	8.665000,	0.000000
286,	19.830000,	127.174995,	0.065000,	205.380005,	2.880000,	130.120003,	8.615000,	0.000000
287,	19.965000,	126.750000,	0.050000,	205.355011,	2.920000,	129.720002,	8.140000,	0.000000
288,	19.769999,	126.910004,	0.050000,	204.710007,	2.985000,	129.945008,	8.550000,	0.000000
289,	19.529999,	126.785004,	0.045000,	204.025009,	2.855000,	129.685001,	8.780000,	0.000000
290,	19.570002,	126.760002,	0.065000,	204.519989,	2.900000,	129.725004,	8.500000,	0.000000
291,	20.004999,	126.849998,	0.090000,	204.195007,	2.915000,	129.854996,	8.575000,	0.000000
292,	19.740000,	126.145004,	0.060000,	204.440002,	2.985000,	129.190001,	8.535001,	0.000000
293,	19.390001,	125.685005,	0.040000,	203.784988,	3.045000,	128.770003,	8.570000,	0.000000
294,	19.619999,	125.254997,	0.045000,	203.899994,	2.925000,	128.224999,	8.514999,	0.000000
295,	19.585001,	125.470001,	0.065000,	203.384995,	2.910000,	128.445008,	8.745000,	0.000000
296,	19.705000,	125.310005,	0.060000,	202.955002,	2.900000,	128.269996,	8.670000,	0.000000
297,	19.434999,	124.415001,	0.035000,	202.919998,	2.925000,	127.375005,	8.950001,	0.000000
298,	19.449999,	125.009995,	0.065000,	202.240005,	3.050000,	128.124998,	8.865000,	0.000000
299,	20.144999,	125.329994,	0.055000,	201.699997,	3.005000,	128.390002,	8.670000,	0.000000
300,	20.510000,	124.659996,	0.065000,	202.319992,	2.925000,	127.649998,	8.420000,	0.000000
