Time,	LatentMB,	InfectiousMB,	InfectiousIdentifiedMB,	InfectiousUnderTreatmeanMB,	InfectiousNotCuredMB,	TotalInfectiousMB,	RecoveredLatentMB,	RelapseMB
211,	22.145000,	137.600006,	0.050000,	223.104996,	3.130000,	140.780014,	9.785000,	0.000000
212,	22.469999,	137.289993,	0.060000,	222.914993,	3.090000,	140.439987,	9.230000,	0.000000
213,	22.525000,	137.649994,	0.035000,	222.345001,	3.180000,	140.864990,	9.355000,	0.000000
214,	22.430000,	137.449997,	0.050000,	222.419998,	3.190000,	140.690002,	9.090000,	0.000000
215,	22.120001,	137.449997,	0.055000,	222.024994,	3.275000,	140.779984,	8.845000,	0.000000
216,	22.375000,	136.835007,	0.015000,	221.455002,	3.320000,	140.170013,	9.220000,	0.000000
217,	21.915001,	136.464996,	0.060000,	221.274994,	3.325000,	139.849991,	9.175000,	0.000000
218,	21.985001,	135.695007,	0.065000,	220.669998,	3.215000,	138.975006,	9.455000,	0.000000
219,	21.430000,	136.000000,	0.065000,	221.554993,	3.115000,	139.180008,	8.735000,	0.000000
220,	21.465000,	135.940002,	0.070000,	221.005005,	3.140000,	139.150009,	8.755000,	0.000000
221,	21.635000,	135.175003,	0.060000,	220.690002,	3.180000,	138.414993,	9.110000,	0.000000
222,	21.834999,	134.985001,	0.055000,	220.270004,	3.130000,	138.169998,	8.930000,	0.000000
223,	21.719999,	134.964996,	0.055000,	219.490005,	2.970000,	137.989990,	9.180000,	0.000000
224,	21.350000,	134.960007,	0.070000,	219.630005,	2.855000,	137.885010,	9.020000,	0.000000
225,	21.740000,	134.664993,	0.065000,	218.449997,	2.830000,	137.559998,	8.870000,	0.000000
226,	21.625000,	134.139999,	0.035000,	218.080002,	2.850000,	137.025009,	8.995000,	0.000000
227,	21.325001,	133.820007,	0.050000,	217.755005,	2.775000,	136.645004,	9.195000,	0.000000
228,	21.105000,	133.524994,	0.065000,	217.440002,	2.855000,	136.444992,	9.255000,	0.000000
229,	20.934999,	132.559998,	0.065000,	216.804993,	2.800000,	135.425003,	9.065000,	0.000000
230,	20.610001,	133.330002,	0.100000,	216.744995,	2.925000,	136.355011,	8.675000,	0.000000
231,	20.799999,	132.505005,	0.070000,	215.315002,	2.955000,	135.530014,	9.210000,	0.000000
232,	20.670000,	131.960007,	0.060000,	215.085007,	3.035000,	135.055008,	9.310000,	0.000000
233,	21.105000,	132.270004,	0.060000,	215.020004,	2.945000,	135.275009,	8.930000,	0.000000
234,	21.680000,	131.649994,	0.050000,	214.455002,	2.890000,	134.589996,	8.890000,	0.000000
235,	21.230000,	131.695007,	0.050000,	213.449997,	2.890000,	134.635010,	8.705000,	0.000000
236,	21.059999,	131.460007,	0.070000,	212.884995,	2.870000,	134.400009,	9.015000,	0.000000
237,	21.174999,	130.595001,	0.035000,	213.514999,	2.845000,	133.475006,	8.525000,	0.000000
238,	21.230000,	130.190002,	0.075000,	212.929993,	2.820000,	133.085007,	8.830000,	0.000000
239,	20.920000,	130.600006,	0.095000,	212.514999,	2.880000,	133.575012,	9.175000,	0.000000
240,	20.865000,	131.250000,	0.050000,	212.884995,	2.925000,	134.225006,	8.925000,	0.000000
241,	20.665001,	131.315002,	0.060000,	212.835007,	2.975000,	134.350006,	8.845000,	0.000000
242,	20.805000,	131.229996,	0.050000,	212.395004,	2.995000,	134.274994,	9.035000,	0.000000
243,	20.580000,	129.960007,	0.010000,	212.324997,	2.955000,	132.925003,	8.840000,	0.000000
244,	21.010000,	130.210007,	0.065000,	211.600006,	2.950000,	133.225006,	8.635000,	0.000000
245,	20.590000,	130.210007,	0.040000,	211.404999,	2.900000,	133.149994,	8.705000,	0.000000
246,	20.705000,	130.800003,	0.055000,	211.634995,	2.630000,	133.485001,	8.360000,	0.000000
247,	20.790001,	129.994995,	0.050000,	211.225006,	2.730000,	132.774994,	8.285000,	0.000000
248,	20.695000,	129.839996,	0.070000,	210.399994,	2.710000,	132.620010,	8.665000,	0.000000
249,	20.705000,	129.375000,	0.085000,	209.750000,	2.665000,	132.125000,	8.850000,	0.000000
250,	20.520000,	128.895004,	0.050000,	210.070007,	2.715000,	131.660004,	8.675000,	0.000000
251,	20.825001,	128.910004,	0.080000,	209.869995,	2.850000,	131.840012,	8.245000,	0.000000
252,	20.610001,	128.830002,	0.040000,	209.309998,	2.895000,	131.764999,	8.840000,	0.000000
