Time,	NewLatentM,	NewTotalInfectiousM,	NewRecoveredM,	NewRelapseM
121,	35.349998,	106.520004,	34.005001,	0.000000
122,	32.060001,	94.409996,	28.155001,	0.000000
123,	28.965000,	85.419998,	24.105000,	0.000000
124,	26.230000,	75.660004,	21.264999,	0.000000
125,	22.969999,	66.759995,	18.115000,	0.000000
126,	20.780001,	59.829998,	17.815001,	0.000000
127,	19.025000,	56.910004,	20.795000,	0.000000
128,	19.014999,	59.335003,	26.070000,	0.000000
129,	19.290001,	65.080002,	31.945000,	0.000000
130,	21.860001,	71.750000,	34.470001,	0.000000
131,	22.930000,	75.724998,	35.259998,	0.000000
132,	23.215000,	76.750000,	33.320000,	0.000000
133,	24.309999,	77.970001,	30.959999,	0.000000
134,	23.715000,	73.060005,	27.825001,	0.000000
135,	22.830000,	69.684998,	25.285000,	0.000000
136,	22.065001,	66.330002,	22.184999,	0.000000
137,	19.910000,	59.360001,	19.750000,	0.000000
138,	18.315001,	54.775002,	16.815001,	0.000000
139,	16.879999,	49.685001,	15.555000,	0.000000
140,	15.080000,	44.820000,	14.500000,	0.000000
141,	13.745000,	41.849998,	15.295000,	0.000000
142,	13.175000,	40.894997,	15.605000,	0.000000
143,	13.315000,	41.084999,	17.025000,	0.000000
144,	13.625000,	43.119999,	19.110001,	0.000000
145,	14.095000,	44.689999,	18.950001,	0.000000
146,	14.210000,	45.745003,	19.094999,	0.000000
147,	14.945000,	46.329998,	18.415001,	0.000000
148,	14.285000,	44.394997,	17.450001,	0.000000
149,	14.155000,	43.370003,	16.350000,	0.000000
150,	14.000000,	42.235001,	14.910000,	0.000000
151,	13.145000,	38.529999,	13.285000,	0.000000
152,	12.640000,	37.305000,	12.335000,	0.000000
153,	11.495000,	34.195004,	11.105000,	0.000000
154,	11.055000,	31.490000,	10.065000,	0.000000
155,	10.005000,	29.479998,	9.540000,	0.000000
156,	9.435000,	27.525000,	9.320000,	0.000000
157,	9.200000,	27.584999,	9.910000,	0.000000
158,	9.120000,	27.240000,	9.855000,	0.000000
159,	8.910000,	26.719999,	10.710000,	0.000000
160,	8.710000,	27.200001,	9.990000,	0.000000
161,	8.305000,	25.879999,	10.375000,	0.000000
162,	8.510000,	26.350000,	10.080000,	0.000000
163,	8.650000,	25.785000,	9.690000,	0.000000
164,	8.625000,	25.044998,	9.345000,	0.000000
165,	8.040000,	24.189999,	8.450000,	0.000000
166,	7.680000,	23.320000,	8.005000,	0.000000
167,	7.540000,	21.810001,	7.165000,	0.000000
168,	7.050000,	20.575001,	6.795000,	0.000000
169,	6.665000,	19.509998,	6.440000,	0.000000
170,	6.185000,	17.904999,	6.350000,	0.000000
171,	6.240000,	18.094999,	6.145000,	0.000000
172,	5.535000,	16.680000,	5.915000,	0.000000
173,	5.645000,	16.420000,	6.050000,	0.000000
174,	5.345000,	16.504999,	5.690000,	0.000000
175,	5.275000,	15.379999,	5.805000,	0.000000
176,	5.240000,	15.665000,	5.670000,	0.000000
177,	5.315000,	15.460000,	5.525000,	0.000000
178,	5.130000,	15.245000,	5.335000,	0.000000
179,	4.715000,	13.890000,	5.075000,	0.000000
180,	4.645000,	13.905001,	4.860000,	0.000000
181,	4.320000,	12.815000,	4.430000,	0.000000
182,	4.145000,	12.355000,	4.360000,	0.000000
183,	4.270000,	11.950000,	4.235000,	0.000000
184,	3.610000,	11.350000,	4.100000,	0.000000
185,	3.830000,	11.115000,	3.695000,	0.000000
186,	3.805000,	10.775001,	3.660000,	0.000000
187,	3.485000,	10.230000,	3.365000,	0.000000
188,	3.335000,	9.845000,	3.585000,	0.000000
189,	3.200000,	9.690001,	3.445000,	0.000000
190,	3.270000,	9.865000,	3.465000,	0.000000
191,	3.050000,	9.035000,	3.105000,	0.000000
192,	3.135000,	9.020000,	3.135000,	0.000000
193,	3.230000,	9.005000,	2.880000,	0.000000
194,	2.940000,	8.270000,	2.930000,	0.000000
195,	2.715000,	7.845000,	2.805000,	0.000000
196,	2.885000,	8.190000,	2.625000,	0.000000
197,	2.660000,	7.690001,	2.620000,	0.000000
198,	2.685000,	7.945000,	2.605000,	0.000000
199,	2.445000,	6.765000,	2.190000,	0.000000
200,	2.340000,	6.625000,	2.285000,	0.000000
